0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156
0.57071495,0.32991952,0.37279552,0.24983221,0.15046707,0.37299302,0.10730005,0.41085097,0.22687247,0.24813136,0.25903344,0.19738746,0.33732426,0.048694514,0.076662496,0.28959957,0.11829586,0.24261561,0.012663905,0.23690665,0.237815,0.12443093,0.10225521,0.040300623,0.1409851,0.38542467,0.033401217,0.14160971,0.2065523,0.38950402,0.05432172,0.05505799,0.17562355,0.34197307,0.23383084,0.17981005,0.18348923,0.050526217,0.14800113,0.021267628,0.26427716,0.053319715,0.28828,0.21489003,0.09608569,0.059704404,0.14611559,0.0679226,0.07392882,0.25964,0.0763313,0.10317638,0.100349694,-0.046920057,0.10791054,0.038295835,0.16163217,0.118530735,0.15714371,0.10762131,0.3928383,0.1056017,0.26483092,0.2310908,0.0561378,0.21332619,0.22399339,0.43298927,0.43952918,0.3654583,0.38575828,0.26096344,0.028201897,0.09540423,0.28920546,0.17810282,0.14195392,0.09880471,0.085692495,0.14103085,0.13621801,0.08341504,0.01781375,0.07520669,0.074227035,0.049131565,0.07776641,0.09643691,0.051468074,0.03499611,0.0686284,0.12007235,0.14217685,0.20949695,0.07766481,0.15207723,0.16849743,0.111412816,0.059824094,0.07235563,0.21936682,0.11687899,0.21292889,0.21669695,0.22090912,0.031202676,0.043535862,0.057085525,0.04643419,0.12590767,0.007337909,0.18583603,0.11215455,0.11473721,0.058362875,0.085018806,0.11048432,0.008256691,0.1783408,0.1211679,0.08363445,0.11894184,-0.01176912,0.2607009,0.031049099,0.02775827,0.024845667,0.123505786,0.12184539,0.08651844,0.23350042,0.06412349,0.14903158,-0.0036208406,0.053580932,0.169572,0.053761996,0.33338925,0.119442426,0.35716927,0.31659207,-0.0009379266,0.04742495,0.054993212,0.16644691,0.14010438,0.067264415,0.10328011,0.07518784,0.21782723,0.07720655,0.07408882,0.01312043,0.020414548,0.10791054,0.008016902,0.18140842
0.49131107,0.40627798,0.5447455,0.18907203,0.11809027,0.3699295,0.27332342,0.26093566,0.054117464,0.3671281,0.28097978,0.23112962,0.39582062,0.21180491,0.16650832,0.18978226,0.07067117,0.09883584,0.13693176,0.25043547,0.3083117,0.21122304,0.18642588,0.15971807,0.15092324,0.26587036,0.049241275,0.050776444,0.19266266,0.30185187,0.22093421,0.11694807,0.23104298,0.25673154,0.079610445,0.2059148,0.3757503,0.08256023,0.17282394,-0.0007288344,0.21887481,0.06202237,0.27028707,0.25022966,0.06373787,0.21691236,0.17927277,0.09706195,-0.013439495,0.34934098,0.14332612,0.053916313,0.03665957,0.075714275,0.066129744,0.045724563,0.23392835,0.12813835,0.2022694,0.1908344,0.2479862,0.12314531,0.06327317,0.1884883,0.06609062,0.2939174,0.1818744,0.29716173,0.20501858,0.18012127,0.1417144,0.09591542,0.011860931,0.168842,0.29739627,0.19008154,0.28897333,0.16556244,0.15842664,0.15222761,0.03986571,0.1457603,0.061319306,0.015677713,0.019369045,0.09940678,0.10018639,0.050945163,-0.11799406,0.011437856,0.0607153,0.07097137,0.17355666,0.14029351,0.0150047615,0.07780323,0.13888238,0.11586192,0.06370121,0.036331154,0.16304818,0.10847673,0.23158492,0.19695756,0.24271905,-0.07228353,0.09889799,0.09227556,0.096392415,0.07529205,0.036502603,0.15282682,0.31298324,0.15386152,0.15404744,0.22972712,-0.08364785,0.18715699,0.22940513,0.14570339,-0.0028081108,0.07799772,0.06679322,0.36509937,0.05716556,0.12436903,-0.03353872,0.047306664,0.07348513,0.16921294,0.17674814,0.26648486,0.32882163,0.17369598,0.10061529,0.15714851,-0.0027197003,0.23779583,0.11478676,0.2767732,0.21511811,0.08454658,0.010801077,0.07526597,0.037322618,0.044169575,-0.018830653,0.11318201,-0.00917361,0.081723824,0.16500367,0.15321292,0.11733462,0.11754122,0.066129744,0.055730708,0.22690599
0.1494311,0.21370417,0.11065106,0.71426636,0.21740222,0.10989989,0.15722382,0.098772466,0.054578353,0.0882239,0.19899473,0.11784592,0.27938142,0.32749194,0.36973315,0.32564026,0.08463702,0.3813604,0.25525802,0.15667412,0.19367203,0.24709773,0.4164869,0.21744381,0.1464383,0.11996807,0.10945848,0.24901003,0.14716262,0.2180857,0.30731183,0.34265223,0.14795646,0.23347577,0.15550442,0.2023252,0.04012367,0.4599038,0.31477314,0.34805423,0.11486341,0.10735446,0.12584804,0.15326425,0.29974136,0.21363485,0.41438964,0.28225976,0.09720123,0.118757986,0.07046007,0.048543267,0.06898075,0.17457718,0.05469709,0.030299664,0.12983695,0.20847729,0.1434851,0.4361934,0.21517915,0.1960006,0.32569826,0.17411968,0.13619718,0.1901327,0.029799666,0.05722835,0.06381444,0.05058785,0.26728383,0.38569903,0.3112111,0.11345971,-0.0108133,0.14023237,0.07475779,0.08193345,0.065323636,0.17595047,0.16408384,0.29059848,0.2474362,0.08959087,0.08988677,0.36097166,0.14984064,0.20198807,0.1604234,0.2377363,0.3260981,0.4533247,0.2341811,0.26340488,0.43506044,0.20021231,0.23071598,0.29364958,0.10408215,0.070224784,0.1109963,0.22820851,0.10733904,0.14568962,0.30281293,0.11435537,0.26179874,0.19690552,0.05601538,0.060788892,0.11455034,0.12482333,0.17135732,0.12634785,0.17141612,0.09353383,0.018853145,0.23905778,0.07987352,0.15758419,0.11422828,0.038046643,-0.056860324,0.058438614,0.1174092,0.19190142,0.038958512,0.13994502,0.34980235,0.041559074,0.22259721,0.28848827,0.17500412,0.16100939,0.06931383,0.09432393,0.084715605,0.18461847,0.13465531,0.110591434,0.09894077,0.16845483,0.09467026,0.12489025,0.2122375,0.29519534,0.14951372,0.2731967,0.26777506,0.09066069,0.15671508,0.12736002,0.18941778,0.12318009,0.05469709,-0.0646797,0.13855295
0.35670784,0.1444653,0.17332877,0.28970867,0.7652949,0.14426392,0.24342717,0.027292801,0.18179308,0.15094504,0.14037284,0.09647345,0.15411706,0.22870667,0.43192673,0.12632388,0.2535337,0.28343868,0.33882964,0.23338875,0.08521417,0.35691893,0.26136273,0.41103822,0.2831276,0.07406211,0.22219136,0.03211265,0.3205267,0.3033204,0.26830298,0.15133545,0.35761666,0.34109768,0.36213586,0.13424955,0.23296928,0.23834059,0.24145027,0.25263327,0.15407015,0.042551074,0.30829245,0.32333028,0.38512254,0.48922458,0.28820014,0.16826549,0.21002957,0.22333056,0.235582,0.005251526,0.111583404,0.042847797,0.06193901,0.04247219,0.23751785,0.2760966,0.332282,0.21972397,0.33907497,0.24092516,0.3671009,0.18629567,0.24042176,0.42875093,0.23012282,0.27211285,0.2352095,0.30567178,0.20139374,0.33651292,0.27717012,0.25768656,0.2602238,0.16999145,0.2461046,0.21404903,0.26223487,0.13465533,0.33308285,0.3446613,0.2986841,0.17852877,0.25772274,0.24981986,0.24822605,0.18081331,0.136605,0.36469075,0.33803374,0.32826585,0.41548055,0.24528965,0.10672235,0.2385517,0.1703347,0.1527938,0.13995638,0.24362019,0.1881427,0.31775814,0.24471372,0.2763651,0.20946577,0.22806036,0.2782619,0.12523851,0.012315741,0.19918974,0.11998632,0.29155025,0.19423541,0.059199803,-0.069687195,0.14030609,-0.058931038,0.17792593,0.16852212,0.16591062,0.26442766,0.05399086,-0.06717801,0.1824042,0.20258778,0.34460896,0.06936914,0.24059723,0.25120577,0.07742295,0.38874015,0.32728687,0.18992084,0.12541813,0.15873,0.2942969,0.09750962,0.28053623,0.06488398,0.14954016,0.30623072,0.05184932,0.063090764,0.14783551,0.25136217,0.20180137,0.060826268,0.24403007,0.26697868,0.32684168,0.10159847,0.14095584,0.098586194,0.23855743,0.06193901,-0.0045266636,0.2768117
0.28153443,0.25355855,0.37292072,0.17852901,0.11132808,0.7977641,0.15175146,0.14703703,0.08136749,0.1707763,0.176273,0.22770895,0.26569754,0.09929316,0.09093947,0.10207786,0.025529437,0.1252888,0.070488885,0.20759185,0.13211934,0.12909499,0.09753231,-0.009285669,0.016661944,0.32462448,-0.020598248,0.091042936,0.07287068,0.19921711,0.036904287,0.039502956,0.090695955,0.27803022,0.025523305,0.15041496,0.1802409,-0.007926645,0.11385733,0.05190264,0.10104957,0.038500886,0.22252955,0.29934984,0.21344686,0.11779934,0.24435657,0.21997765,0.12665296,0.16503075,-0.026566029,0.0079799285,0.051795438,-0.035187148,-0.027288094,-0.043504063,0.23897511,0.08791183,0.23947157,0.13416287,0.19241905,0.13449211,0.025383135,0.2812874,0.103633046,0.13958995,0.23445074,0.35833877,0.3259021,0.24398433,0.3111252,0.19015963,0.05711144,0.12275654,0.36226094,0.109062254,0.2328957,0.15100388,0.015113027,0.15191561,0.15580745,0.1714118,0.062705755,-0.0016420297,0.033272028,0.03239425,0.060272496,0.07637214,0.040551387,0.13898784,0.0991093,0.029076416,0.04506224,0.17887387,0.004822597,0.102988295,0.09564129,0.025739932,-0.009925191,0.017038371,0.05224185,0.1276413,0.1443541,0.2202411,0.25290585,0.025079045,0.057103254,0.045898616,-0.10022707,0.062059477,0.19458249,0.1820306,0.12575266,0.15557332,0.08716528,0.1405721,0.19631511,0.04680301,0.23455262,0.16280255,0.003476723,0.25225168,0.029329304,0.21600741,0.0077663115,0.014850555,-0.020216916,0.21058437,0.10521541,0.22094415,0.25261155,0.104293145,0.2127999,0.19942322,-0.096422404,0.1893627,0.049828365,0.19607049,0.346847,0.2733109,0.3210017,0.035820365,0.0006412156,-0.0840525,0.14764611,0.008551685,-0.045978747,0.073612146,0.006026364,0.09874935,-0.05347451,0.078262225,-0.08240512,0.016091846,-0.027288094,-0.09280804,0.23151238
0.36836168,0.2288123,0.25589365,0.17047651,0.17089689,0.18771805,0.7732348,0.30852404,0.26859355,0.41761625,0.4205519,0.13831864,0.29167697,0.1988757,0.25917286,0.15814164,0.24403268,0.2353353,0.21270704,0.26821563,0.38377103,0.3250268,0.2095418,0.20377357,0.22962345,0.38823107,0.207212,0.23836705,0.41678545,0.27720904,0.12852734,0.13165419,0.24458635,0.34093457,0.27082118,0.13969968,0.2946415,0.06761063,0.22973153,0.042495232,0.3220993,0.14498068,0.21558774,0.34382215,0.0745099,0.3087574,0.17227975,0.0265955,0.072308056,0.32629684,0.19002332,0.08443731,0.16471738,0.04849927,0.052088603,0.026303235,0.19092056,0.15894419,0.25635445,0.08992554,0.26194865,0.28341505,0.24924701,0.18483263,0.21303995,0.20359373,0.35803208,0.28494188,0.21252085,0.30522743,0.17738457,0.11458868,0.07266304,0.17259294,0.34342596,0.108398944,0.36702952,0.18794926,0.377836,0.14355065,0.1446197,0.13155822,0.2123361,0.24838275,0.23114866,0.08848163,0.080737144,0.036989905,-0.034206003,0.10682419,0.1382391,0.14417973,0.17869508,0.06603709,-7.4920245e-05,0.0069510154,0.04254475,-0.0028502718,0.085293345,0.1736744,0.09885024,0.15738752,0.19077933,0.27735263,0.09258693,0.03581933,0.1467065,0.20915067,0.10714947,0.084538355,0.12155388,0.11563092,0.15314536,0.13931167,0.13137332,0.30815977,0.033162422,0.30878958,0.23299035,0.2004911,0.1812565,0.18406133,-0.016587686,0.15627679,0.17570522,0.282963,0.062527746,0.07441366,0.12804307,0.07619357,0.24768898,0.17982176,0.17196912,0.08754492,0.008272062,0.15990922,0.099213995,0.13856348,0.10590081,0.23421036,0.24926136,0.06930617,0.054780863,0.14191207,0.06807811,0.085135385,0.036152054,0.048774727,0.077812105,0.18668099,0.12784672,0.100861706,0.05612523,0.13933365,0.052088603,0.052746736,0.20372577
0.35115975,0.29418048,0.40322942,0.20389915,0.035947934,0.20655432,0.3192487,0.8593931,0.4091572,0.41420388,0.41282797,0.26444355,0.27064705,0.14237559,0.12239792,0.16803546,0.12358211,0.21588556,0.10764592,0.34860954,0.48763508,0.20885938,0.08039058,0.13167219,0.21090548,0.47509718,0.08996757,0.13355806,0.25485307,0.3862648,0.09955764,0.05364341,0.22746639,0.34968427,0.4500367,0.19457969,0.17856333,0.1100366,0.18717696,-0.07465203,0.38581696,0.09333993,0.16752386,0.42903608,0.1679044,0.11559623,0.14409466,0.06988141,-0.012762925,0.20208716,0.07983114,0.11193241,0.15436122,0.020908494,0.08953293,-0.021129332,0.08255606,0.015986236,0.14000455,0.122257054,0.34095705,0.07713032,0.25455973,0.18810435,0.044964265,0.20888099,0.17612694,0.26498,0.31575137,0.2859867,0.23865439,0.17221504,0.03956987,0.15935364,0.16524836,0.1796025,0.22999299,0.030153684,0.20744376,0.11251634,0.094148345,0.039427675,0.079584606,0.09960824,0.03804805,0.12207328,0.086397514,-0.068693966,0.0370471,-0.031229187,0.11294537,0.20503931,0.08942866,0.055360492,0.101968095,0.033801284,0.11511523,0.14810888,0.03143274,0.087737635,0.11160684,0.16916962,0.25421283,0.19859132,0.15514997,0.005474478,0.021757038,0.16953447,0.041061413,0.09481936,0.041828446,0.18947661,0.20906022,0.24376062,0.16643037,0.13783851,0.106066436,0.17989072,0.24660519,0.15413484,0.047441553,0.098840505,0.12177892,0.2595316,0.1253944,0.07001516,0.020873342,0.019197902,0.17419852,0.13105103,0.14892536,0.081420526,0.11466698,0.028592136,0.04168843,0.15776873,0.08712956,0.20833166,0.061513953,0.3191855,0.18436015,-0.05480621,0.054262873,0.112836935,0.12922011,0.11829784,0.053574935,0.019218165,0.06097088,0.19159886,0.041484337,0.09693444,0.045377627,-0.013042694,0.08953293,-0.0013742228,0.09026819
0.11680484,0.16532052,0.12805289,-0.017714418,-0.06493546,0.044428382,0.122554705,0.32028684,0.6463305,0.25408503,0.12718138,0.06519291,0.19395134,0.0457949,-0.004982006,0.016345445,0.068433516,-0.045584023,-0.016684521,0.1566768,0.15184091,0.0041732956,-0.014998727,0.06424293,0.06818472,0.21033287,-0.0071699377,0.13574705,0.10721233,0.14748538,0.08189817,0.060810577,0.17222616,0.08592822,0.1561277,0.2243621,0.08471188,-0.03215708,0.119750984,0.02114055,0.15999681,0.21783003,0.13090903,0.16760181,-0.0063530058,-0.014785837,0.0599178,0.04037405,0.08246874,0.13974284,-0.033381727,-0.06400549,0.06359489,0.08394543,0.10685497,0.05763356,0.058201365,0.07437399,-0.0010940023,0.13332416,0.086570315,0.07075343,0.08617685,0.10475939,0.16925392,-0.056821235,0.0734844,0.12706214,0.20347257,0.16497499,0.13965209,0.072441325,0.014814496,0.06412294,0.13047528,0.3278863,0.1154772,0.18117519,0.07360794,0.084870934,0.21003643,0.06061827,0.05705934,0.030563857,0.023360208,0.08115744,0.038754918,0.008664548,0.0491743,0.065223664,0.07445139,0.032181315,-0.060507655,0.075305514,0.1181985,0.06522863,0.08066696,0.1268209,0.16227295,0.0133044105,0.20029336,0.06484529,0.10127113,0.09102213,0.013089202,-0.079568535,-0.017930916,0.0122256065,-0.06482884,-0.020290844,0.07391639,-0.0039487593,0.056316234,0.21086574,0.19723567,0.21493602,0.08751212,0.035454296,0.103196286,0.07981052,0.027997348,0.20796981,-0.026133107,0.09498721,0.06116596,0.06849923,-0.01168628,0.06502505,0.053003304,0.20005018,0.015472032,0.090824135,0.1022859,0.07671422,0.030201685,0.07921903,0.19646358,0.2775482,0.039005786,0.10868438,0.04512917,0.11669232,0.041822493,0.036251083,0.070394464,0.0017657913,0.091860116,0.044517856,0.08169349,0.0691196,-0.03919201,0.23159547,-0.027860379,0.014881422,0.10685497,0.037095886,0.07638304
0.26573223,0.24837032,0.33657503,0.20748317,0.07394637,0.18004873,0.27042526,0.35812098,0.3347773,0.81387043,0.51157534,0.35198864,0.4062466,0.08853999,0.19695272,0.12846446,0.23188892,0.13861386,0.26185498,0.44269064,0.3602345,0.24021909,0.20340298,0.17334805,0.27415037,0.24912147,0.068309225,0.21401188,0.31068045,0.25565928,0.15616067,0.011509672,0.24880624,0.3004895,0.23568586,0.38776845,0.5054958,0.25800377,0.2566786,0.019028397,0.24774039,0.21785036,0.329259,0.32687578,0.1756582,0.08438729,0.21317479,0.06562578,0.02682044,0.23652719,0.19189958,0.108163625,-0.0662047,0.11546601,0.008382341,0.101442024,0.013278259,0.15625677,0.08983909,0.104300946,0.21242641,0.083838746,0.27469313,0.2198014,0.0059336536,0.22657686,0.053699017,0.2520159,0.30804002,0.32689148,0.26133025,0.16801241,0.03615773,0.18575254,0.18208979,0.36717346,0.21724205,0.018395703,0.19278942,0.24051937,0.09090544,0.15396133,0.06782906,0.018839095,0.04181154,0.22243616,0.0807148,0.061448358,0.039661292,-0.014391437,0.16645594,0.14179257,0.21710774,0.14474684,0.08788109,0.14060166,0.18917786,0.07077382,0.19494154,0.10501847,0.08383367,0.21942562,0.25907522,0.15548322,0.17473505,0.17408846,0.0761246,0.1778402,0.14783712,-0.024247546,0.031754844,0.08959456,0.32607284,0.35356557,0.17286168,0.27531284,0.19255614,0.25333127,0.29632127,0.28616682,0.014498199,0.19249335,0.102053925,0.2066726,0.012960349,0.07537986,0.015353264,0.013170161,0.25281268,0.24332598,0.2231239,0.17474112,0.12766674,0.024699083,0.18120848,0.20961693,-0.016166836,0.17601854,0.24844518,0.2098309,0.22471511,0.09648653,0.09374007,0.03670243,0.08583473,0.114253774,0.019832585,0.08059697,0.07196042,0.21534957,0.06573908,0.20918092,0.011129983,0.1068678,0.008382341,0.13258207,-0.0015086258
0.057715267,0.13757774,0.15498966,0.19442827,-0.105247825,0.11494791,0.32571587,0.30137175,0.20995203,0.28686228,0.5532963,0.23533446,0.20646949,0.042076528,0.058577117,0.13939303,0.18390234,0.16851395,0.27327564,0.23965928,0.20467082,0.042903803,0.06696564,0.011423983,0.23364584,0.28289035,0.008974362,0.28935438,0.17361441,0.09800561,0.1092249,0.13861673,0.16641176,0.10105019,0.16548017,0.31950605,0.15479967,0.20933056,0.19962716,0.1156058,0.2608782,0.11893145,0.23283221,0.1942897,0.05236242,0.067522906,0.11651455,0.074207336,0.016094603,0.19412471,0.12826933,0.038823307,0.002747857,0.07126252,0.035755526,-0.08915172,-0.03463957,0.016297098,0.06649843,0.118119285,0.12642664,0.2128859,0.1618225,0.17455061,0.022988724,0.065149926,0.018531892,0.08523346,0.15819477,0.14199376,0.2708311,0.19217902,0.049676128,0.073841,0.07959444,0.26684046,0.15159898,0.18508008,0.1692664,0.073962316,0.11927156,0.08846907,0.06825264,0.08475442,0.1227915,0.112744026,0.14423974,-0.060310073,0.07871459,0.03298962,0.04224491,0.1431246,0.07064834,0.06052213,0.12187642,0.048887715,0.0814023,0.083720446,0.13827457,0.03288076,0.061404847,0.11659071,0.13593538,0.07969344,0.16731754,-0.03216883,-0.012419441,0.17831263,0.08193971,-0.09829905,-0.009779274,0.036710147,0.13076364,0.31458536,0.36854553,0.40326288,0.22107822,0.3354375,0.21708775,0.27755243,0.06356621,0.15444359,0.019258618,0.12644947,0.18192956,-0.007519348,0.03271197,-0.07030247,0.14487128,0.119244754,0.053134263,0.06632316,0.18831605,0.023422683,0.060935706,0.17725667,0.06462234,0.08724977,0.10155116,0.18936282,0.05572196,-0.017441683,-0.0015056059,0.10307619,0.027723765,-0.017321397,-0.0037774816,0.026275808,0.07766747,0.06912689,0.017196704,0.12518588,-0.057215303,-0.043629743,0.035755526,-0.065642364,-0.030481752
