0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171
0.8216981,0.23090935,0.16755947,0.20299865,0.39295954,0.22088784,0.42266676,0.17791829,0.225767,0.07619228,0.23615408,0.21224983,0.3547942,0.14271136,0.14055672,0.33067605,0.18792409,0.23614085,0.24674492,0.05895202,0.23648079,0.24108379,0.13383314,0.23749633,0.27498606,0.23734306,0.18109861,0.45853868,0.11387311,0.1998676,0.17672905,0.21530452,0.35991377,0.4149784,0.20421198,0.21518211,0.64482766,0.1908296,0.38371336,0.116592094,0.33571023,0.11948553,0.29894808,0.113900974,0.2674644,0.21596922,0.12747374,0.13604848,0.18660304,0.14802375,0.3737705,0.34379208,0.3152718,0.19055316,0.31874126,0.24915002,0.20093408,0.18616515,0.07937412,0.23964456,0.08065547,0.1858335,0.050534032,0.12066239,0.28073126,0.39983478,0.34641102,0.130353,0.19791235,0.14225134,0.13530572,0.19373602,0.27749902,0.4879813,0.46095473,0.3643664,0.30035165,0.2611775,0.2454135,0.16828156,0.15355948,0.15194061,0.3285221,0.31726822,0.1304453,0.2150052,0.2903952,0.13411829,0.11863962,0.17729133,0.033711847,0.36869383,0.16003413,0.17130426,0.25524262,0.08030564,0.1704061,0.0923848,0.13604848,0.17051938,0.13604848,0.22516656,0.13057598,0.1684597,0.14823811,0.09466409,0.18883574,0.22391427,0.19332963,0.3111644,0.25203922,0.16206309,0.12899509,0.16841109,0.18759385,0.14998989,0.08490217,0.14672403,0.18140863,0.21132538,0.27148765,0.2441543,0.20172817,0.13892987,0.2087745,0.07764931,0.17050329,0.1279581,0.12661502,0.07378243,0.12612364,0.19686371,0.089832075,0.13427606,0.15351684,0.1605372,0.1399319,0.16275772,0.06703069,0.19557002,0.1243264,0.115160055,0.035562493,0.1331937,0.20058472,0.13578494,0.15545544,0.12717491,0.33421275,0.1558632,0.130896,0.18951088,0.09960167,0.15035626,0.043139488,0.17525996,0.15428242,0.43413484,0.19229524,0.21077429,0.40060318,0.09030526,0.1743889,0.20424312,0.18252145,0.36893365,0.14039908,0.010844169,0.0541494,0.11626354,0.13371965,0.14021035
0.3503652,0.55334896,0.2771038,0.3346244,0.24121013,0.38425308,0.23405287,0.18870011,0.22627826,0.103555195,0.11945041,0.13805424,0.44557658,0.1341,0.24375471,0.32373273,0.30617362,0.22635019,0.24828157,0.19609275,0.36325896,0.24378395,0.37750852,0.35362133,0.37743798,0.34161788,0.21383096,0.23176153,0.065762386,0.28221023,0.22724408,0.22256131,0.31909955,0.4150843,0.22438058,0.23096749,0.3510646,0.1699277,0.19138092,0.044391014,0.2719498,0.28417686,0.18119036,0.14351685,0.22862224,0.30670393,0.043214917,0.121674694,0.21187933,0.23966387,0.18445747,0.2200298,0.33840692,0.33889487,0.28377458,0.29434672,0.24324359,0.48099256,0.22534981,0.2438335,0.21643412,0.27644825,0.32930565,0.25595468,0.30000395,0.3498374,0.09222927,0.08169824,0.18307944,0.11496801,0.19922522,0.19221523,0.21194482,0.33653018,0.24215335,0.20590322,0.30176145,0.20312083,0.087657794,0.12411702,0.32761195,0.10074758,0.20727134,0.28605664,0.077801995,0.2086971,0.32580775,0.16345547,0.041751266,0.23066756,0.15891364,0.35292515,0.2735798,0.1767014,0.22095703,0.18647525,0.16698232,0.15572672,0.121674694,0.15540826,0.121674694,0.22333753,0.20889188,0.23650886,0.20804836,0.13401586,0.25983614,0.23616439,0.2297914,0.27820373,0.28653586,0.27934676,0.16785885,0.3127287,0.16079903,0.19316612,0.14030568,0.14581306,0.11053522,0.17187385,0.3210438,0.09663058,0.28053564,0.15093905,0.28609928,0.056276724,0.31642646,0.084760204,0.07990132,0.24117574,0.15302202,0.09911372,0.2711662,0.122394435,0.21956375,0.2498648,0.30393213,0.14010075,0.2543867,0.3570823,0.1779546,0.40381795,0.10647518,0.1053777,0.20800845,0.21886133,0.3311726,0.03933596,0.034760207,0.15995614,0.15193571,0.12469636,0.19473945,0.33808634,0.26936683,0.13330165,0.20418361,0.23104917,0.109084666,0.20872125,0.21263462,0.28213143,0.32293734,0.2836363,0.27929685,0.25004253,0.23630878,0.0014961604,0.06491494,0.29350764,0.23619428,0.28427845
0.43873614,0.3572092,0.22875127,0.26901954,0.27936137,0.15597567,0.2630894,0.15609653,0.14586256,0.022715531,0.09556149,0.1957346,0.33538947,0.16971986,0.27430645,0.117300004,0.18127578,0.29658687,0.18286169,0.19797456,0.19433266,0.2880054,0.17122015,0.29416108,0.2897416,0.21868339,0.26536706,0.3125103,0.12645556,0.19736962,0.22482692,0.11557791,0.15507758,0.4219113,0.2726816,0.2715963,0.46046633,0.2647317,0.31312013,0.33147076,0.2313655,0.12864803,0.21581246,0.0538273,0.2648592,0.25463042,0.17042384,0.013584658,0.2783645,0.24053353,0.21693349,0.21114829,0.24479961,0.24758509,0.28092605,0.2229195,0.3241418,0.30299383,0.11416955,0.25115508,0.19916824,0.38561642,0.23827597,0.0964814,0.25019643,0.38952634,0.35141408,0.15732796,0.27643394,0.2547483,0.3241973,0.19814998,0.120704964,0.22654581,0.26105633,0.23250327,0.15563813,0.13703743,0.08673167,0.22179192,0.24325755,0.24754988,0.21619141,0.21958289,0.07067729,0.12388896,0.16047294,0.039539605,0.04887151,0.14909297,0.025499867,0.20822972,0.13588914,0.26433188,0.18968752,0.086618885,0.26069206,0.18756154,0.013584658,0.13048685,0.013584658,0.16782163,0.28080437,0.089656115,0.29882258,0.18733856,0.11105446,0.33265367,0.19978783,0.31947315,0.25331563,0.16939375,0.33331057,0.19254607,0.1656043,0.15209953,0.15144971,0.1320299,0.19828153,0.12702529,0.2526818,0.00803782,0.3417145,0.14375731,0.28802967,0.16026196,0.26493,0.07142921,0.051863812,0.03235114,0.11857791,0.0036021024,0.093145065,0.013500173,0.12766564,0.20914452,0.17150642,0.16072229,0.0911499,0.18932669,0.18323609,0.2252351,0.14339985,0.15941027,0.3594013,0.12759826,0.18231848,0.102662876,0.082411245,0.13352142,0.15961057,0.2039679,0.24093486,0.25877953,0.13101192,0.17826405,0.05890302,0.3995331,0.10573318,0.18766847,0.15297523,0.15609223,0.30921093,0.24551609,0.29764125,0.29422033,0.17598999,0.045486983,0.02404146,0.27163613,0.30512077,0.29082516
0.42123753,0.4865072,0.44317272,0.31696278,0.37036556,0.35425553,0.3575788,0.091073886,0.32652944,0.12913902,0.2307756,0.2262472,0.5119593,0.23065522,0.30792922,0.3290292,0.21690857,0.3050197,0.28950477,0.20465383,0.3909518,0.349822,0.28607032,0.3148165,0.37140068,0.38809597,0.32683775,0.38519105,0.123275176,0.22492824,0.2450864,0.22899956,0.24074261,0.4874953,0.412467,0.24666886,0.46028528,0.28453174,0.36419523,0.18763763,0.34369653,0.3052227,0.30870375,0.15046604,0.28320214,0.26791245,0.13807152,0.033268273,0.25237095,0.22803295,0.31841165,0.24524523,0.435457,0.3840876,0.36240327,0.35504144,0.3047377,0.3977216,0.15877873,0.23804024,0.045029446,0.22804469,0.24622802,0.19730568,0.27070677,0.501854,0.3711067,0.15637688,0.17480472,0.16646007,0.3146004,0.1620824,0.19413538,0.3651356,0.30652642,0.096268,0.2515449,0.1659093,0.083576605,0.19626418,0.24633451,0.14784311,0.22244133,0.39868665,0.098448105,0.14800382,0.3517985,0.027706414,0.12902738,0.23854698,0.09953402,0.33479694,0.2476663,0.17653807,0.21463263,0.09726329,0.1850872,0.25748727,0.033268273,0.15636241,0.033268273,0.18580526,0.18026672,0.1768821,0.1808743,0.19172508,0.26563266,0.2681545,0.21022029,0.27121574,0.2443124,0.11359538,0.23642817,0.3460958,0.14655125,0.12056349,0.06217628,0.3018765,0.19734058,0.15886575,0.27741158,0.18064626,0.3258248,0.12248877,0.27037123,0.110041544,0.38560387,0.1828346,0.12175683,0.1932942,0.13019434,0.14203116,0.31658754,0.15391006,0.24990726,0.1836521,0.27432793,0.21896808,0.1327119,0.26753163,0.1482417,0.2955303,0.09659132,0.18402508,0.2508833,0.2670087,0.2161344,0.04964648,0.0640275,0.17259903,0.19180743,0.20331842,0.34244612,0.28097427,0.1921049,0.28880936,0.15864205,0.21039006,0.28381795,0.29966483,0.26698825,0.28218538,0.2055333,0.17567578,0.19840756,0.29691496,0.26074323,0.08426657,-0.030497247,0.16507798,0.20235479,0.24162428
0.21641472,0.16309628,0.26299685,0.7391656,0.17460713,0.26591915,0.11763543,0.0707552,0.14868756,0.008737892,0.1254283,0.1359865,0.296543,0.34265634,0.31189847,0.0895004,0.25517702,0.33483508,0.2637902,0.30547386,0.25818577,0.11867599,0.22875172,0.19624624,0.34097084,0.3589276,0.28944856,0.12784438,0.083264254,0.27298826,0.23822987,0.09316159,0.19954298,0.3313693,0.2783144,0.2682536,0.30151483,0.33393157,0.28448173,0.24455422,0.22791663,0.16577125,0.17036703,0.09079256,0.25943002,0.42029896,0.24370274,0.20280594,0.2655772,0.30072796,0.1849208,0.22043271,0.33050254,0.4221069,0.29631323,0.2262854,0.3803854,0.32245362,0.30722943,0.31781822,0.15145859,0.20824464,0.25403962,0.30458915,0.28264707,0.28262508,0.4328134,0.15395248,0.25495023,0.19764435,0.34253407,0.18114668,0.31969267,0.3613379,0.26545167,0.14395113,0.2587927,0.17924309,0.17178963,0.17486054,0.31375703,0.21674426,0.13914303,0.25620678,0.16368821,0.14892527,0.11808321,0.09070076,0.16644907,0.061387755,0.08795593,0.19468203,0.13048169,0.25801566,0.15345627,0.20020097,0.3345707,0.22640298,0.20280594,0.17843829,0.20280594,0.21089439,0.3389702,0.27303377,0.20883468,0.20720747,0.22505891,0.36927938,0.24290606,0.3048923,0.26142675,0.28329694,0.21210581,0.21902005,0.22812894,0.21444972,0.24893911,0.20703265,0.17964613,0.12867971,0.27988234,0.0054390095,0.25426584,0.36695272,0.3008656,0.070327,0.17849368,0.0038064234,0.044771872,0.073595196,0.11660678,0.058810674,0.13740234,0.15132049,0.10698652,0.23901898,0.12727506,0.11527577,0.0982376,0.21264619,0.16101228,0.35376832,0.102294095,0.17153963,0.2570567,0.18345517,0.22298403,0.17066881,0.17458951,0.14798787,0.1374827,0.26328573,0.22052498,0.26271185,0.14134671,0.33549023,0.08847758,0.2927854,0.16912821,0.10492406,0.29066816,0.15058883,0.19389142,0.24427117,0.25408736,0.26930484,0.23345774,0.10696023,0.15636963,0.16500407,0.18734892,0.16570692
0.42064738,0.37752903,0.17625678,0.23765208,0.7870942,0.30574632,0.2760527,0.11301292,0.20461378,0.12227476,0.26116842,0.14136839,0.40378532,0.19642064,0.12856506,0.20974793,0.1069259,0.2123147,0.19922408,0.08646418,0.29276314,0.32763642,0.1633982,0.19377849,0.1762855,0.14731681,0.072554275,0.35500106,0.2747824,0.25015122,0.22102025,0.16448398,0.30606002,0.21741079,0.19249971,0.15507863,0.40079752,0.16648111,0.22639829,0.09778939,0.2675509,0.25811034,0.27208987,0.24163882,0.21149935,0.23323756,0.15825328,0.100837454,0.17162439,0.13804038,0.34794864,0.23712638,0.34835923,0.29326046,0.4079215,0.322761,0.198569,0.21842265,0.057702288,0.16969466,0.03555972,0.13179532,0.21890792,0.13547347,0.36816192,0.3206906,0.18129268,0.08619051,0.21025541,0.19116789,0.14996345,0.12382217,0.22248262,0.36372197,0.36517054,0.22423506,0.29283088,0.26451823,0.10745132,0.21276395,0.20978758,0.201118,0.30349326,0.37989312,0.08069065,0.37330812,0.32793152,0.09604892,0.27916196,0.16632405,0.09144461,0.22758403,0.21835288,0.2352647,0.23599477,0.11766072,0.14944005,0.23415619,0.100837454,0.14827308,0.100837454,0.21902415,0.26205698,0.110000454,0.18246311,0.2122382,0.18850744,0.16414061,0.14751422,0.26758003,0.2085094,0.12865454,0.1503603,0.1943816,0.10990848,0.065760314,0.14831749,0.19835716,0.15948115,0.16994283,0.17261538,0.22121407,0.30163354,0.13959691,0.19969621,0.07272565,0.18384075,0.24169873,0.13318129,0.20571968,0.08674005,0.27605233,0.20392817,0.21934867,0.17337054,0.18273741,0.21946597,0.2714017,0.11158317,0.22186975,0.054777354,0.14506228,0.14309609,0.14354905,0.28122264,0.24361378,0.29776213,0.036754556,0.19000262,0.13858879,0.14065562,0.18100263,0.17797934,0.28867626,0.20463337,0.12622869,0.08261415,0.33231673,0.23798937,0.2000437,0.30968258,0.24737568,0.19651791,0.17195728,0.18101493,0.34636813,0.12695998,-0.06665261,0.04762997,0.06285944,0.07154593,0.21127741
0.20200998,0.33131802,0.15226075,0.27230346,0.21284574,0.72751695,0.29523474,0.22036105,0.17266881,0.1761367,0.05846589,0.18497407,0.3033494,0.17268212,0.16573511,0.066042915,0.17610706,0.39854068,0.14758521,0.18502927,0.17484778,0.24996532,0.19418386,0.23591827,0.2809252,0.12758821,0.13290821,0.28068686,0.20728339,0.33565643,0.30404964,0.24026984,0.25414392,0.17682804,0.13497868,0.1733122,0.28547695,0.22680737,0.22385453,0.06749587,0.2182829,0.26373857,0.20955372,0.118562944,0.24052887,0.3022363,0.14501767,0.23499864,0.22597435,0.1775533,0.23257032,0.19333392,0.28250432,0.17876866,0.14277953,0.18315531,0.19737646,0.3995093,0.16435343,0.30813238,0.0395424,0.17914021,0.31643537,0.2937489,0.09855606,0.21753149,0.17834762,0.1776375,0.29015422,0.24298523,0.21512008,0.3352497,0.24596694,0.3318572,0.15291673,0.13108943,0.2630277,0.08058802,0.16407195,0.15251903,0.14380221,0.11513766,0.10233433,0.32749614,0.104410194,0.25094092,0.2282381,0.13334763,0.25205484,0.23005104,0.026363865,0.25568727,0.20524931,0.291554,0.09753451,0.14454955,0.15548483,0.21423332,0.23499864,0.19704321,0.23499864,0.26154616,0.16394947,0.17329156,0.061439943,0.1501452,0.22713557,0.271454,0.14087145,0.25936037,0.3085853,0.14910688,0.1963428,0.20598438,0.01945097,0.126529,0.21254353,0.13186465,0.21096596,0.23762845,0.17998755,0.08621252,0.2877631,0.15050665,0.2115392,0.070814006,0.0881232,0.12397524,0.117682435,0.22486037,0.081478745,0.024161287,0.22974044,0.12593098,0.16577387,0.20854035,0.17591286,0.25775856,0.1301429,0.24481064,0.107619174,0.31803206,0.14760068,0.21722935,0.19461001,0.13176477,0.13858223,0.16919863,0.07297839,0.12306373,0.12688504,0.09150288,0.15886788,0.18702307,0.14996333,0.12590557,0.27718684,0.11884144,0.11038859,0.16469347,0.22969738,0.14775687,0.23788431,0.2571268,0.18661046,0.18142635,0.12641099,0.021109397,-0.026753692,0.1831805,0.1334999,0.25899044
0.4120573,0.21579167,0.13704593,0.11069589,0.13444544,0.29509342,0.8052746,0.33619028,0.30677915,0.24616289,0.18267936,0.3069638,0.26885533,0.11358343,0.1106711,0.11812801,0.1671922,0.28888148,0.17540921,0.09959051,0.28259456,0.38766587,0.24680436,0.09250535,0.17391312,0.15252188,0.10818893,0.42279202,0.16870317,0.26517302,0.2075521,0.22530833,0.27015233,0.36583412,0.16003005,0.14013863,0.38263032,0.31882834,0.508014,0.077401504,0.26302546,0.20093483,0.26253492,0.09761547,0.20689039,0.24015197,0.13037664,0.105781674,0.2121718,0.10537334,0.4069377,0.22637042,0.39787552,0.22200607,0.17224483,0.17080532,0.23866639,0.27885532,0.11701963,0.23277275,0.13532363,0.2088892,0.15916336,0.101164125,0.1216311,0.3237375,0.27817047,0.16671422,0.1875099,0.136034,0.100632,0.1555604,0.06254283,0.33963218,0.3209312,0.1440985,0.20186034,0.12904143,0.16310287,0.108420104,0.10147213,0.18449807,0.2078825,0.18236762,0.11424661,0.28673857,0.22081235,0.20273782,0.077718884,0.16311616,0.05106498,0.26811513,0.16295552,0.16823721,0.08961353,0.11625324,0.14733286,0.12751248,0.105781674,0.19991434,0.105781674,0.23654914,0.038224045,0.1947246,0.12265794,0.06106334,0.18019535,0.29760408,0.111948356,0.21997629,0.18327737,0.09395434,0.12923741,0.20300186,0.22791561,0.16570356,0.10766826,0.109188266,0.16296563,0.17250043,0.122278064,0.12823428,0.23749724,0.09558277,0.114964,0.08826405,0.15221746,0.16887176,0.20088735,0.16743195,0.094273195,0.15033418,0.20567282,0.13190228,0.10489083,0.14839444,0.175314,0.17026329,0.099809065,0.26747897,0.13666368,0.17764185,0.014182909,0.15525746,0.17489275,0.16462226,0.1911489,0.18876576,0.08041096,0.049430847,0.16663873,0.10888685,0.0861824,0.11538463,0.031235123,0.11324787,0.1941464,0.18399066,0.1670578,0.25223082,0.23423506,0.069279626,0.170684,0.23193175,0.15785754,0.23329774,0.1604993,0.054153994,0.01751389,0.14710923,0.17954266,0.14400747
0.26199397,0.14052282,0.14062753,0.2275503,0.1267957,0.3294037,0.4821735,0.604836,0.2749862,0.20730257,0.15538205,0.18131435,0.274036,0.21771671,0.17630194,0.060558073,0.19210109,0.25575158,0.16056105,0.13720508,0.21441382,0.20558232,0.16120857,0.113142,0.16132544,0.18497792,0.13327746,0.32752386,0.3572102,0.26799524,0.21715972,0.28072166,0.29218227,0.3422309,0.10804124,0.16320336,0.2667772,0.31153718,0.3864659,0.10704194,0.2315144,0.22192714,0.24157327,0.12972872,0.1945101,0.21377903,0.11279985,0.16636187,0.29922155,0.15365359,0.21994665,0.24903265,0.3328008,0.19957274,0.14234781,0.18705773,0.20326032,0.26340613,0.2061822,0.31629854,0.087225094,0.17293262,0.21500133,0.17799044,0.16657248,0.1727379,0.25088158,0.2408552,0.32848305,0.18429063,0.17981732,0.20273235,0.114052765,0.34575036,0.34447134,0.16304357,0.20380823,0.14804782,0.19134504,0.18703611,0.20183852,0.22894461,0.22413549,0.1661565,0.17455903,0.18733048,0.20361012,0.30399495,0.21698177,0.1793029,0.0403264,0.27525833,0.12213506,0.31580028,0.1363741,0.16383334,0.2534811,0.1479684,0.16636187,0.2149032,0.16636187,0.21877167,0.098151326,0.19184414,0.17215465,0.121470556,0.16005018,0.31858298,0.11601137,0.3005705,0.20028377,0.16672139,0.09230264,0.22514518,0.22847615,0.24653207,0.20423454,0.05475004,0.21904245,0.17985219,0.076939635,0.060381025,0.20039046,0.15665683,0.121388,0.059764884,0.102527514,0.1835258,0.121801905,0.14912653,0.12610735,0.15646684,0.22793974,0.12895948,0.279217,0.20357755,0.17862779,0.13561386,0.10336485,0.14919402,0.1699668,0.21654923,0.056304608,0.12631418,0.15304819,0.12891954,0.18434978,0.11328514,0.07348653,0.10728911,0.19798711,0.15896168,0.14824921,0.18791252,0.061662603,0.12529978,0.20175795,0.23157784,0.13039508,0.17719479,0.24834302,0.030822605,0.21393952,0.15794876,0.16783218,0.20955952,0.1802485,-0.018070424,-0.010251311,0.13119996,0.14217693,0.13527738
0.25158733,0.35659197,0.2038082,0.29573888,0.22730446,0.46195465,0.3665025,0.27900612,0.73472905,0.29895163,0.35893887,0.3354944,0.46332765,0.08091367,0.23753028,0.21430928,0.1392471,0.4418397,0.1951043,0.28800848,0.47373235,0.35750863,0.39596397,0.208646,0.30514777,0.23157263,0.19529958,0.2898981,0.20954165,0.27236694,0.27495104,0.29521984,0.3856175,0.37547317,0.27545393,0.13702407,0.2926138,0.37680894,0.3000247,0.20396157,0.3665708,0.44304833,0.22575796,0.26582146,0.28850088,0.33273908,0.078969695,0.10963291,0.31188098,0.123653695,0.33040985,0.33899862,0.46020752,0.35397026,0.28572232,0.26739556,0.31730154,0.39676806,0.31672323,0.23408908,0.15017194,0.22088072,0.2944858,0.2820179,0.114702106,0.2149692,0.26041555,0.1784218,0.1756183,0.17583309,0.26788375,0.1534785,0.20318156,0.3982874,0.35322142,0.084253274,0.3060991,0.15898335,0.15523277,0.17523906,0.09494279,0.14402622,0.21218334,0.26917708,0.22096267,0.17000365,0.29731202,0.1400161,0.20996566,0.19120014,0.18958166,0.286005,0.22517988,0.18555477,0.16248569,0.04979124,0.14218324,0.25938097,0.10963291,0.19144401,0.10963291,0.27583772,0.05968917,0.130716,0.15429376,0.15250373,0.17653883,0.26458958,0.2052172,0.2338917,0.21635702,0.122356504,0.224789,0.24579507,0.045818094,0.26630646,0.15649903,0.14683165,0.22758453,0.08309388,0.21735904,0.19725037,0.21749082,0.16019273,0.27328584,0.10179438,0.35704577,0.3023022,0.27892554,0.32060272,0.15109873,0.14437656,0.3192325,0.21728499,0.21309102,0.22251098,0.2490409,0.2739491,0.08569174,0.27474758,0.17268375,0.3517429,0.07989283,0.17807278,0.13314569,0.33652708,0.25067702,0.15928909,0.107850365,0.11584657,0.1871314,0.14735427,0.17530447,0.21526672,0.10795563,0.31086472,0.10931877,0.17910758,0.27058244,0.26032367,0.21370956,0.26205608,0.21034616,0.18281242,0.2428889,0.25046092,0.25040555,0.013055719,0.10428982,0.17588784,0.21692362,0.25214905
