0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143
0.8708955,0.41423354,0.4982804,0.46703798,0.38454258,0.43768013,0.27824754,0.45935732,0.34261343,0.31006724,0.37187454,0.38397107,0.40737423,0.25654665,0.23642457,0.31765634,0.4432881,0.20730527,0.4188717,0.33764267,0.24341118,0.27438477,0.26248062,0.28721762,0.36374873,0.38140005,0.38808632,0.468207,0.33899808,0.52881896,0.25199908,0.28549135,0.39607865,0.56426716,0.49565455,0.21585718,0.3846811,0.2959876,0.28762418,0.19051036,0.23382637,0.3025203,0.18043013,0.41313416,0.39955002,0.38832265,0.29528522,0.2835489,0.3054062,0.36822784,0.25498605,0.27897578,0.24798654,0.2997928,0.19373813,0.24823064,0.19686596,0.20528251,0.368874,0.43754727,0.3884518,0.35359776,0.31637228,0.32549757,0.38319707,0.48274052,0.49157873,0.46071488,0.28948054,0.49342132,0.4244949,0.2495447,0.24879186,0.36228532,0.35559875,0.43858358,0.33788022,0.33882028,0.33099854,0.22757329,0.37229568,0.3027984,0.2596625,0.1615031,0.18647784,0.27991098,0.25425038,0.20954137,0.2829251,0.32516426,0.20500806,0.27558094,0.23914507,0.28080398,0.2027674,0.25007406,0.36455035,0.3896757,0.37273875,0.24511683,0.24152586,0.20196716,0.30557775,0.27017793,0.29234552,0.23399144,0.26136735,0.19947699,0.31952408,0.29794127,0.26009876,0.25485605,0.31859165,0.18168108,0.23884612,0.2103589,0.27393705,0.2987232,0.4401546,0.28882247,0.29157665,0.2572552,0.315984,0.23066662,0.2954548,0.39933112,0.338556,0.4246193,0.491396,0.35474658,0.18682805,0.23849005,0.16862568,0.30956542,0.32946163,0.21644893,0.48103702,0.31161898,0.24993017,0.22154632,0.2191045,0.25285348,0.26341417,0.23851684
0.33234036,0.71160007,0.42798445,0.64845014,0.3556746,0.38393995,0.44793165,0.33391583,0.27772677,0.49261034,0.41437665,0.473871,0.6089499,0.41132185,0.3398498,0.41679102,0.40699244,0.333041,0.51981914,0.38170382,0.4263163,0.4157762,0.304758,0.36628157,0.39773446,0.383028,0.42986667,0.44262612,0.40353245,0.36021948,0.42486024,0.283678,0.4280727,0.38402233,0.41474655,0.21656644,0.3195148,0.4181612,0.32321787,0.17669094,0.26096004,0.37134227,0.23290196,0.25685775,0.34228736,0.45595795,0.32374534,0.46523538,0.27167654,0.34123704,0.30755118,0.35558775,0.29259253,0.21544756,0.214175,0.28676808,0.29069385,0.20849505,0.28904945,0.48936734,0.3657652,0.32499284,0.2168151,0.35327503,0.2966122,0.41988975,0.31753355,0.2724338,0.15643749,0.25550225,0.35981292,0.25110197,0.31456566,0.32516134,0.2824024,0.41738173,0.32732353,0.31387648,0.43065673,0.18225409,0.443518,0.34393066,0.29246414,0.2038129,0.25233993,0.21840754,0.43973917,0.30482632,0.38545275,0.27925307,0.28480607,0.29896432,0.24017733,0.32065108,0.29773855,0.21341078,0.35755742,0.33407336,0.27624077,0.38011616,0.31107998,0.19007938,0.45623866,0.26686785,0.30059394,0.3661322,0.3283829,0.18710253,0.34574202,0.32111773,0.1675745,0.10735853,0.37625244,0.25207973,0.35078254,0.13808516,0.31568146,0.38063174,0.23344435,0.28963336,0.38179362,0.4504385,0.33506018,0.39088005,0.28389847,0.326372,0.30628097,0.36419776,0.28633446,0.40127033,0.25318828,0.21801533,0.27720013,0.32070947,0.3137415,0.23185562,0.31385496,0.30935696,0.26322535,0.23645578,0.105821885,0.29987845,0.2964695,0.31874743
0.30460674,0.4124267,0.31026405,0.37844718,0.8432081,0.29885048,0.36486655,0.23033646,0.34218737,0.38956237,0.30954397,0.35570297,0.40745622,0.3976513,0.4288584,0.49950278,0.41029605,0.4497529,0.38019505,0.3073678,0.37746277,0.30268016,0.24734288,0.43407634,0.42409536,0.45996755,0.34636456,0.25341505,0.42145944,0.46631852,0.43110338,0.2711641,0.4610874,0.4102416,0.3918046,0.40314493,0.30873752,0.4006969,0.2481138,0.40602338,0.38203156,0.39964822,0.32248646,0.32445246,0.3806976,0.49440306,0.48570722,0.49120575,0.36179012,0.38260624,0.49905357,0.40901315,0.43830204,0.2768504,0.26283306,0.26737928,0.3138436,0.33229572,0.39336538,0.4897123,0.5182692,0.42129782,0.32764158,0.5179701,0.4674337,0.4790216,0.38003957,0.39440104,0.2577883,0.36576545,0.42294395,0.32980135,0.31946313,0.42358392,0.37743625,0.38175732,0.27667683,0.35547736,0.38473624,0.31450403,0.3702811,0.31161335,0.44828874,0.36696362,0.43358433,0.30845836,0.45989317,0.45441645,0.50175506,0.38669682,0.21711668,0.42864805,0.30948755,0.3939352,0.33379114,0.3729892,0.48989415,0.42937213,0.3725703,0.3270173,0.41940895,0.22551772,0.41298145,0.22613332,0.21877486,0.27873635,0.20499626,0.27039805,0.28523442,0.3544108,0.26286286,0.15288049,0.33036688,0.26958412,0.46623302,0.2343466,0.3963966,0.36131302,0.35075682,0.41309166,0.39330715,0.46319956,0.33160457,0.32292813,0.50563926,0.3939805,0.3781789,0.4212265,0.4422404,0.3644995,0.23436919,0.31351078,0.22061686,0.43608293,0.46592113,0.3498252,0.4551016,0.33478677,0.38788354,0.28103086,0.32095706,0.3332275,0.26927477,0.25856897
0.5098895,0.35508257,0.4205437,0.45941365,0.33345354,0.8895146,0.35784787,0.29571363,0.28689322,0.33861437,0.26435935,0.34787643,0.39305732,0.265925,0.3190591,0.20640786,0.2243504,0.21954408,0.36147207,0.3188991,0.30989498,0.22628388,0.27625182,0.2145299,0.23564738,0.2805333,0.25960284,0.32325885,0.30447677,0.368324,0.23647109,0.16500852,0.36306566,0.3804533,0.26167983,0.15274194,0.38157383,0.31117123,0.20687526,0.14045376,0.2559877,0.22976466,0.2049058,0.2937134,0.3191491,0.4374131,0.40083736,0.3280927,0.3295389,0.5216529,0.31011504,0.28956234,0.23049492,0.23013417,0.19272287,0.19449063,0.30711526,0.16344586,0.38416415,0.32513288,0.21242625,0.29840386,0.283641,0.25921318,0.35709238,0.47225085,0.47267324,0.3839227,0.3073225,0.39795533,0.39978924,0.2599534,0.33547047,0.42025852,0.2550153,0.5198416,0.31075594,0.25863427,0.29223737,0.2612904,0.25173062,0.31359255,0.32585424,0.15356475,0.26635107,0.1684584,0.40870795,0.2738673,0.23705162,0.3962704,0.19804214,0.28722864,0.19746272,0.24987143,0.16265053,0.281505,0.35173374,0.3298308,0.35733724,0.2990815,0.18743476,0.18884711,0.310366,0.37960637,0.25251508,0.30664906,0.35203284,0.1868769,0.33978721,0.3355617,0.41544494,0.2419156,0.34806705,0.18470024,0.24388774,0.1982202,0.3657628,0.41495132,0.31894433,0.27470437,0.23704717,0.2951643,0.35688397,0.36886564,0.27360204,0.32793027,0.42176,0.3560592,0.5199801,0.5196562,0.2184785,0.20105316,0.19070424,0.32706195,0.25909197,0.17728098,0.38280416,0.1816742,0.22829385,0.059177972,0.16231,0.21105714,0.15467691,0.29958645
0.34132734,0.4610901,0.28901845,0.39399123,0.35442525,0.43258786,0.8437651,0.3733997,0.37158656,0.4871155,0.4224304,0.3675889,0.44564053,0.36858615,0.2247152,0.30687213,0.31615183,0.36621588,0.32668996,0.34607765,0.36645353,0.19980083,0.2618063,0.33564234,0.2556119,0.3493672,0.34901533,0.48277685,0.48634285,0.36079916,0.3610105,0.27431265,0.37230963,0.33325702,0.38474947,0.15477358,0.30233398,0.4118763,0.25452432,0.24574462,0.2602839,0.35587204,0.17904198,0.34222972,0.3625077,0.43266523,0.31633118,0.4279128,0.24553345,0.29395205,0.27803212,0.41384754,0.33577937,0.37918735,0.27305424,0.31526488,0.3370412,0.32486284,0.27291995,0.38397968,0.30738628,0.27464336,0.39024496,0.32412022,0.44499958,0.44693717,0.32636428,0.38503075,0.18622124,0.32603168,0.25046036,0.24032973,0.24372607,0.47397178,0.291077,0.48882788,0.34380984,0.39555717,0.37825722,0.25380546,0.34771138,0.38908133,0.35669523,0.18331662,0.25977767,0.286145,0.24168395,0.22987512,0.31361955,0.30214572,0.26551628,0.29535848,0.26383576,0.17532197,0.24140128,0.33344108,0.3341264,0.41813293,0.39567894,0.27964953,0.2803996,0.18162799,0.39013967,0.3443806,0.27052757,0.41744363,0.30545303,0.23790418,0.375624,0.32869563,0.36994514,0.1522209,0.34904316,0.26763415,0.43407935,0.2966814,0.2695975,0.296385,0.26121593,0.33227265,0.4198146,0.3431465,0.3385925,0.32193,0.24025758,0.3747382,0.34051535,0.36872864,0.29986078,0.40383446,0.24924208,0.30289432,0.2229337,0.29768887,0.2693318,0.2487066,0.3101694,0.35547042,0.27842605,0.1969302,0.21875164,0.34450313,0.31229886,0.30299857
0.50971496,0.35592172,0.37584928,0.44795567,0.23494971,0.36939076,0.40659884,0.88069797,0.58792025,0.44287077,0.48532617,0.417712,0.40966585,0.29692605,0.19669521,0.29322094,0.34758806,0.29633456,0.43263468,0.4636105,0.3239722,0.14521049,0.17997298,0.20941336,0.28253624,0.27358663,0.345427,0.60408765,0.38861024,0.45206016,0.31681782,0.27515653,0.31945366,0.47259638,0.6067212,0.25658828,0.3193851,0.3064594,0.2657836,0.21719903,0.21157396,0.34310517,0.15170231,0.47340953,0.38015586,0.50852394,0.2895699,0.2574566,0.19781594,0.2395975,0.30054486,0.2888116,0.19517246,0.31956434,0.24380423,0.27788067,0.1898407,0.16171461,0.23779315,0.43167353,0.35948133,0.29910833,0.26304117,0.25854447,0.24352893,0.41476682,0.4443773,0.4312237,0.23442614,0.35851496,0.3138306,0.23314452,0.25698715,0.2894558,0.344966,0.4334888,0.29112595,0.2895715,0.38729066,0.27890557,0.449452,0.2972436,0.2064642,0.16616221,0.14774135,0.2027601,0.19186485,0.18969443,0.2022288,0.23569664,0.20864217,0.16119787,0.27030206,0.3137864,0.23924384,0.21132794,0.2917519,0.38842094,0.33792442,0.25172567,0.16983396,0.19027862,0.28339472,0.2563315,0.29747456,0.25462446,0.29309195,0.24020182,0.31782216,0.24955237,0.19581133,0.1415183,0.3767404,0.19762333,0.20990491,0.2164062,0.22587976,0.25239897,0.24735072,0.21748112,0.3969338,0.24886857,0.25786966,0.2109357,0.26078764,0.3458123,0.24411881,0.4204939,0.3449941,0.26147613,0.15316172,0.24422431,0.24237102,0.21348159,0.24507211,0.20315623,0.3747447,0.2815848,0.24313664,0.21216795,0.118278,0.23365127,0.26326334,0.17667037
0.3412408,0.320024,0.31001362,0.24110368,0.38324004,0.2607533,0.44925857,0.46568412,0.74965453,0.41492665,0.3324797,0.36783835,0.36575192,0.25922334,0.3247071,0.28971848,0.24237913,0.30925643,0.35882467,0.20049691,0.34363437,0.104144596,0.19798435,0.31188595,0.23504704,0.30889335,0.3966696,0.33318985,0.31777844,0.40833902,0.26322892,0.25655878,0.33478975,0.34970376,0.38620523,0.36863428,0.27763185,0.23927501,0.23129155,0.17286652,0.20225126,0.37443632,0.18465188,0.3549142,0.34362602,0.40043408,0.29458302,0.2758263,0.22311336,0.30038625,0.2807177,0.34789306,0.3178273,0.29010314,0.2818688,0.29173923,0.34395677,0.29617864,0.25469068,0.29024485,0.3408388,0.26289725,0.3404064,0.25024265,0.33677882,0.34266508,0.34196112,0.37337837,0.22022745,0.3298911,0.26135358,0.29292476,0.30599704,0.34594607,0.35266382,0.36850154,0.36515146,0.39020982,0.4219636,0.39363652,0.3093235,0.25677904,0.3389714,0.21051161,0.2610619,0.22347257,0.24410765,0.16042681,0.25360784,0.2750079,0.20993352,0.3130769,0.29577342,0.28471607,0.29185012,0.33350867,0.26866037,0.35935867,0.31474727,0.2196656,0.20791732,0.20516612,0.22896934,0.2967248,0.27530286,0.2984046,0.19002089,0.21489865,0.31741053,0.28215158,0.283269,0.16256312,0.27968958,0.2436736,0.33511502,0.18880457,0.20451392,0.3073883,0.20647977,0.29242182,0.37810335,0.28343764,0.3066433,0.2187789,0.19060412,0.41673025,0.27221075,0.29748735,0.36590505,0.2515377,0.2675752,0.30452186,0.2654194,0.28747565,0.2615066,0.25615543,0.32130608,0.24655676,0.3173743,0.15972897,0.18985282,0.28103983,0.2955343,0.3050462
0.31133997,0.42113864,0.32082242,0.47618896,0.34828296,0.3234285,0.38491762,0.43713054,0.39378095,0.8249349,0.50943637,0.5693736,0.58160645,0.290484,0.20173469,0.29032266,0.33742553,0.36605436,0.5130079,0.46782473,0.4446115,0.1559177,0.27948684,0.29720178,0.31069568,0.2818729,0.4558144,0.42849392,0.44891676,0.45206428,0.29143825,0.20093367,0.381179,0.34225938,0.36084646,0.33550048,0.3575282,0.6125241,0.3422472,0.34094822,0.22090808,0.32522652,0.1411957,0.39896655,0.4691264,0.4309832,0.34478593,0.27779314,0.21396919,0.33312738,0.36101413,0.3702873,0.34107596,0.23617202,0.23193432,0.16347902,0.28586957,0.2545399,0.2639392,0.30893892,0.33006328,0.3067873,0.20876747,0.34194234,0.26151186,0.39286882,0.3740422,0.42651325,0.2590518,0.3286994,0.3145122,0.2188354,0.2411829,0.38731313,0.46658835,0.4410079,0.3889549,0.31529975,0.408812,0.2625387,0.42823988,0.37384114,0.2980405,0.13893616,0.388084,0.25487307,0.28285974,0.22601587,0.36416414,0.3091128,0.18440719,0.25314102,0.344417,0.24119572,0.32383832,0.2973974,0.3745523,0.41700643,0.35139844,0.29299867,0.3334976,0.21826006,0.4799916,0.45772344,0.37064117,0.40403154,0.41676435,0.30544186,0.4042403,0.38799018,0.3628003,0.22971421,0.35652485,0.23150451,0.28308553,0.25436604,0.41188648,0.40284902,0.18561882,0.34154993,0.33718494,0.30670476,0.24584508,0.22187383,0.38641065,0.33434725,0.43123725,0.39597982,0.3243222,0.3551824,0.23425452,0.263413,0.22707772,0.35675806,0.2915928,0.24224758,0.37687212,0.24413714,0.3094931,0.14937694,0.22100666,0.2328645,0.19609049,0.23696503
0.22068188,0.24480948,0.277674,0.26373562,0.17578138,0.2711051,0.40193808,0.3885229,0.35644728,0.45298502,0.66239226,0.4023649,0.32951513,0.31809205,0.22052254,0.24939784,0.32766825,0.34195867,0.39791936,0.37627816,0.23793475,0.1703752,0.19914156,0.28539273,0.26573998,0.2577995,0.44928718,0.4621532,0.36570296,0.2640267,0.33021125,0.325375,0.26152265,0.2259338,0.33009773,0.17217387,0.2721888,0.32240945,0.2842826,0.18217412,0.21446851,0.3409902,0.16380838,0.36314777,0.34232444,0.3319406,0.22565685,0.2738286,0.10284588,0.2847619,0.2562462,0.2727508,0.28493524,0.2525857,0.21949027,0.2036591,0.18154888,0.20922631,0.2421568,0.19894364,0.2674603,0.2715847,0.2383968,0.26936233,0.14854711,0.27348077,0.21984044,0.305543,0.18554229,0.3674194,0.25985396,0.26192677,0.31748927,0.19461676,0.40810972,0.37157613,0.38153845,0.43375194,0.28348497,0.21647194,0.354365,0.28577954,0.18031637,0.10139161,0.17439212,0.12492208,0.17648323,0.2377451,0.24309132,0.21296552,0.26488864,0.23059899,0.2613702,0.2877333,0.22099315,0.23644581,0.25051215,0.31423438,0.20979193,0.17611007,0.16231963,0.23110822,0.2692958,0.30288932,0.4788984,0.34931645,0.36707696,0.27755982,0.29529774,0.26325172,0.24136096,0.14183688,0.28235427,0.2538665,0.2052111,0.2277548,0.14499593,0.22162884,0.11774795,0.1930124,0.32159927,0.2870501,0.3299724,0.1800348,0.22002956,0.25383228,0.30821878,0.28755432,0.28529882,0.30197936,0.24881154,0.2731629,0.18006293,0.24186294,0.18955183,0.18744542,0.2640699,0.2582959,0.23867315,0.15625148,0.17917374,0.24629246,0.24056233,0.17722408
0.43394014,0.3452838,0.2873662,0.41674137,0.3797172,0.4179445,0.3230458,0.38715273,0.35952917,0.5402266,0.580229,0.45146823,0.4558562,0.2663724,0.29970777,0.27961183,0.40475485,0.41815704,0.5397656,0.41338426,0.3329385,0.26787585,0.31906655,0.32142812,0.4006076,0.38295776,0.44154117,0.37024635,0.4154055,0.38916907,0.36263168,0.19401075,0.42004701,0.40252006,0.38496327,0.37402353,0.36485988,0.4566068,0.3315484,0.26628324,0.3144449,0.3317005,0.20422909,0.3971147,0.39814728,0.4999976,0.4055431,0.4068617,0.28266606,0.43452382,0.47024393,0.37351122,0.31918943,0.29920486,0.25069994,0.23898384,0.31144103,0.2531483,0.35365114,0.3721847,0.27011257,0.32340437,0.2613669,0.43053278,0.3530422,0.46421602,0.3754625,0.40978938,0.20700848,0.34789604,0.30587366,0.29196084,0.3115115,0.36174655,0.45371205,0.50116485,0.38310695,0.35275146,0.39687115,0.35876623,0.37359682,0.33637455,0.28233725,0.18438692,0.32837787,0.23948078,0.38071874,0.37306544,0.27989924,0.4199868,0.33871633,0.30296007,0.27088618,0.33892265,0.34016478,0.32004154,0.29818577,0.39275637,0.33025026,0.31899935,0.36521405,0.29716176,0.49521726,0.395603,0.35158813,0.35781184,0.37913817,0.381188,0.3666558,0.351955,0.37431347,0.1862269,0.37607008,0.30283985,0.30456376,0.31695136,0.40515918,0.5139703,0.31863832,0.3995855,0.29532492,0.31441027,0.31073493,0.34660998,0.4122187,0.3241475,0.431296,0.430776,0.42780286,0.39460766,0.22445981,0.28987807,0.27112317,0.4334305,0.32717144,0.24548481,0.3709677,0.24717855,0.2629168,0.08470664,0.24482313,0.26347134,0.21485141,0.2619955
0.3542656,0.28620294,0.3096591,0.31655166,0.25160694,0.2728532,0.3596177,0.4127071,0.31842518,0.4328719,0.47469258,0.64075756,0.37808838,0.36701417,0.23824091,0.2863217,0.2810846,0.3003378,0.46424982,0.35360304,0.34654254,0.24062234,0.1061611,0.276479,0.2927668,0.26348162,0.384755,0.44383729,0.36209476,0.33395514,0.22103655,0.05488546,0.32142437,0.27035713,0.29612884,0.26313886,0.2771107,0.33471173,0.26903218,0.2153149,0.22163649,0.3108859,0.2104486,0.3309183,0.39955565,0.3472583,0.23358935,0.20341264,0.17719458,0.23741293,0.20205058,0.29664415,0.16722314,0.19074136,0.18460363,0.25045854,0.14651889,0.07678431,0.2085813,0.38743585,0.23114957,0.22854409,0.16356483,0.25532264,0.24959475,0.25277987,0.22163576,0.2921673,0.17923911,0.28711826,0.33661634,0.33018324,0.3042696,0.2813327,0.33939132,0.2934004,0.25084275,0.26956725,0.42028308,0.20875244,0.43268287,0.19978479,0.2849602,0.11833335,0.20476143,0.31303626,0.24910387,0.1827535,0.295565,0.264615,0.188752,0.23276782,0.2639043,0.19842851,0.20383634,0.20998654,0.25005835,0.33357623,0.33860856,0.29337963,0.2749511,0.19685258,0.28315285,0.24923532,0.25485873,0.3016431,0.26412952,0.1621812,0.24828014,0.32092783,0.25976878,0.15145174,0.36115593,0.21272549,0.21429637,0.19413707,0.21411043,0.21207447,0.20725727,0.24291335,0.27217352,0.22836007,0.23947862,0.14836136,0.24632189,0.29907215,0.26543134,0.34078765,0.35583442,0.27626312,0.19560623,0.21043354,0.27591145,0.21430442,0.2004005,0.122210145,0.2866039,0.19139633,0.2136209,0.22388488,0.08294751,0.18126483,0.21291506,0.18857656
0.4388506,0.53460824,0.43615252,0.6127186,0.4084246,0.48201972,0.49447036,0.37277853,0.393518,0.56020826,0.46639872,0.54386485,0.8188459,0.59613156,0.3861697,0.3907192,0.37200022,0.38401148,0.48091722,0.38882065,0.4124946,0.26563385,0.39412826,0.3884372,0.45524722,0.38773042,0.42307433,0.46721244,0.43882188,0.47306228,0.42548567,0.30926204,0.47393796,0.40236837,0.41335356,0.3204805,0.3821248,0.46779078,0.35612828,0.22318736,0.3135552,0.38562703,0.22951925,0.35567296,0.38061643,0.5035583,0.43657583,0.3621217,0.18760505,0.4693154,0.39532763,0.37768435,0.32828408,0.2821588,0.2288697,0.29401076,0.33819878,0.18660411,0.40945238,0.47505042,0.40878293,0.34565586,0.2945281,0.38483176,0.3610984,0.446587,0.41385552,0.31183156,0.35421604,0.39395845,0.45955265,0.28690267,0.32312235,0.4424352,0.28295615,0.4446424,0.3509689,0.2776398,0.3883689,0.26113206,0.4135787,0.38948756,0.3635724,0.21882729,0.3402325,0.21198356,0.34053913,0.29237062,0.4261136,0.38582435,0.32212818,0.24318406,0.3043202,0.28598586,0.26222715,0.34401768,0.4095205,0.46184194,0.43706256,0.35630292,0.3487544,0.18442701,0.48305276,0.40634573,0.30135453,0.28942576,0.3480742,0.20431733,0.3463688,0.39870778,0.33284304,0.24820727,0.3394996,0.2513811,0.36982092,0.23123918,0.42802978,0.52337396,0.27970156,0.32735103,0.40561572,0.43873665,0.3137775,0.29907978,0.37193435,0.36373052,0.38327265,0.4375437,0.37274027,0.45411065,0.33293214,0.30446506,0.3125778,0.40368265,0.30616096,0.2861177,0.43265525,0.28023636,0.24914709,0.22308984,0.14690885,0.27029794,0.28522795,0.3497079
0.25970688,0.24890451,0.29769877,0.3056125,0.4209143,0.28565437,0.29268146,0.21281779,0.31424922,0.18998688,0.28708097,0.26287082,0.34060422,0.4304631,0.8723387,0.39755255,0.23387663,0.34277087,0.23131035,0.22778858,0.30087742,0.28172544,0.14854448,0.38677412,0.37854344,0.35176498,0.26055756,0.28933948,0.26144156,0.25709686,0.43144056,0.35123497,0.2830619,0.2701274,0.27633446,0.30465016,0.30780402,0.23184639,0.40149766,0.3050218,0.4982326,0.337146,0.42063537,0.21940067,0.37266386,0.25931454,0.3875049,0.35934025,0.21760201,0.40213394,0.22859201,0.24565712,0.25270703,0.24150503,0.23119038,0.31099892,0.3179773,0.21221645,0.1763105,0.4046076,0.46845216,0.41738284,0.2931291,0.30492377,0.33563045,0.2152428,0.24980026,0.26040202,0.23144571,0.32867464,0.45181105,0.44603777,0.45708454,0.21629661,0.24994874,0.258691,0.27546456,0.40200645,0.29792753,0.4134652,0.22067715,0.2863687,0.3589316,0.38344908,0.36131266,0.16586617,0.34694612,0.4009264,0.36805412,0.27490947,0.30871302,0.37798226,0.31773254,0.23961776,0.24416223,0.3737924,0.26460278,0.4415024,0.2880991,0.47600475,0.4705258,0.122002155,0.2708803,0.20298903,0.31844962,0.27615166,0.23531982,0.27475566,0.26324767,0.34559283,0.26114824,0.1564287,0.25099143,0.3351931,0.37116936,0.21986386,0.30996346,0.4096055,0.28637946,0.3890457,0.34446096,0.40171286,0.38918963,0.37743792,0.25014442,0.3012443,0.25465345,0.20032503,0.24330303,0.24279281,0.33096948,0.31670722,0.28358445,0.2902128,0.36232102,0.35853094,0.3175997,0.31080282,0.34486565,0.3120613,0.21446136,0.31091174,0.29143858,0.24831702
0.26566815,0.3628634,0.33631903,0.40313306,0.4453216,0.22481716,0.28504783,0.24970976,0.31667662,0.34547907,0.30032635,0.2996729,0.31431252,0.47279108,0.42636314,0.8862826,0.4748768,0.48088133,0.33442155,0.37065324,0.21269277,0.36038393,0.18376905,0.48057604,0.42515433,0.48459482,0.4068588,0.28115365,0.30032647,0.37854087,0.47588757,0.39729655,0.33098015,0.34134698,0.3798986,0.30904922,0.30105874,0.39072663,0.246232,0.36322197,0.43420368,0.50622565,0.35695547,0.23697105,0.41387135,0.39791736,0.38022143,0.3582212,0.3281673,0.31926703,0.25973457,0.33849278,0.30095738,0.24526486,0.26979977,0.2993114,0.268604,0.2141946,0.33458555,0.49598223,0.4773948,0.44590572,0.3873459,0.3499873,0.28425476,0.35676977,0.23868701,0.2450454,0.25150785,0.36464047,0.3936116,0.37556884,0.45691505,0.21442148,0.2978317,0.28498,0.24389468,0.35449234,0.24628282,0.30223072,0.2971543,0.25671017,0.338601,0.29015875,0.38467312,0.2813438,0.35307354,0.46811318,0.43366855,0.27414584,0.21472974,0.35487297,0.3270055,0.37701333,0.45203626,0.39121133,0.51546735,0.4305187,0.3223408,0.32008862,0.39339474,0.17040285,0.32018873,0.18384248,0.18746793,0.23404562,0.22719172,0.19016173,0.32799652,0.27371997,0.1719007,0.17666452,0.30750623,0.19645807,0.36777294,0.19979885,0.3441304,0.21371248,0.27334383,0.36594656,0.37118322,0.43691108,0.33264542,0.4022086,0.3812037,0.34669775,0.30450007,0.22771029,0.2592127,0.32330126,0.28126264,0.2829474,0.18616405,0.3430463,0.3960699,0.35445148,0.33299965,0.38968098,0.4727319,0.41486657,0.22601187,0.3233726,0.29622877,0.23376372
