0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157
0.8708955,0.33234036,0.30460674,0.5098895,0.34132734,0.50971496,0.3412408,0.3113401,0.22068188,0.43394014,0.3542656,0.4388506,0.2597068,0.26566812,0.4176023,0.33487612,0.1566968,0.19194342,0.44788867,0.31998518,0.2593051,0.35043532,0.28766084,0.53072155,0.22342736,0.16115296,0.29739752,0.4744519,0.5391718,0.28143674,0.2530892,0.5793174,0.49113142,0.2593602,0.39756823,0.23401612,0.3606672,0.24304262,0.19428787,0.24365233,0.13604847,0.28482252,0.1640501,0.4503811,0.3950878,0.41518754,0.30987674,0.21275316,0.34967136,0.27404016,0.31135124,0.24955589,0.31673637,0.20905997,0.32180256,0.2470113,0.24019763,0.29704812,0.3754851,0.4760697,0.3909467,0.25571758,0.28582865,0.25264844,0.2977784,0.37401068,0.5617793,0.5099282,0.50162995,0.4290648,0.31139213,0.29142362,0.33341217,0.2860448,0.24008948,0.2971102,0.4340626,0.2716098,0.27883983,0.3581273,0.28043747,0.18823642,0.3703778,0.15573828,0.38532233,0.28383115,0.29598352,0.22109908,0.26527044,0.12597296,0.13789022,0.14741345,0.13789022,0.16991708,0.19884333,0.19527322,0.31204596,0.25742412,0.28109774,0.24507296,0.27130252,0.255247,0.24810052,0.32754278,0.2958804,0.38853094,0.31708577,0.24698174,0.25319007,0.2987724,0.2567464,0.35488415,0.29355437,0.2958676,0.18786097,0.2612872,0.24831663,0.25370586,0.2623689,0.2279595,0.3102989,0.31024218,0.288929,0.27944615,0.20756423,0.289716,0.22349244,0.24171118,0.15791397,0.24201006,0.2385709,0.23844996,0.39287835,0.27967435,0.24537188,0.31047845,0.21083824,0.28077236,0.18437555,0.36870968,0.29866832,0.4887154,0.2770246,0.3069067,0.49990684,0.2364761,0.2223543,0.27618653,0.29762876,0.2632633,0.4338426,0.25986445,0.226267,0.2502696,0.2249365,0.29226574,0.24007803,0.15161744
0.41423354,0.71160007,0.4124267,0.35508257,0.4610901,0.35592172,0.32002413,0.4211386,0.24480948,0.3452838,0.28620294,0.53460824,0.24890448,0.36286345,0.5159911,0.31461227,0.2508436,0.25462696,0.53200656,0.3686916,0.49458557,0.506565,0.34875003,0.36470357,0.2808213,0.2455795,0.2762444,0.49745142,0.52883434,0.38021025,0.2692067,0.39275473,0.3747422,0.20601875,0.33405143,0.39508194,0.33563983,0.28591454,0.24101168,0.20377344,0.12167465,0.2894692,0.17497218,0.24842818,0.34013367,0.483353,0.40466145,0.24886091,0.278684,0.3321819,0.55033875,0.37056887,0.32408032,0.28736874,0.40190798,0.48408574,0.3745746,0.34349853,0.395451,0.4546826,0.23510994,0.24964151,0.30148017,0.30473924,0.28599313,0.3240322,0.45675746,0.33276188,0.384635,0.47163844,0.26364338,0.17868997,0.24585932,0.41404536,0.19638085,0.32171392,0.43932527,0.26862657,0.31589016,0.38799894,0.30737007,0.18065268,0.3779338,0.25377572,0.44999188,0.32088727,0.24813782,0.31580687,0.25559464,0.19538398,0.12085745,0.13666974,0.12085745,0.14853422,0.27016532,0.29952556,0.3332742,0.255003,0.37466896,0.31833595,0.27521145,0.2961905,0.28682783,0.312685,0.23711741,0.4511535,0.19504288,0.29988548,0.24031991,0.34885323,0.24323,0.4675738,0.30509847,0.22345953,0.35627383,0.30164626,0.21147558,0.40471357,0.30183905,0.27899668,0.35384226,0.40605634,0.42918074,0.22499184,0.3071217,0.38527316,0.30922937,0.4862323,0.23726594,0.24928626,0.32280922,0.36136073,0.19908041,0.32819405,0.3323439,0.21428385,0.31862736,0.43789935,0.41097647,0.28723297,0.36395237,0.25519073,0.22315499,0.38569742,0.3295747,0.39271227,0.36298352,0.38337725,0.31027377,0.37950674,0.34089652,0.3423246,0.2663843,0.28068054,0.37848073,0.393053,0.3889637,0.1403318
0.4982804,0.42798445,0.31026405,0.4205437,0.28901845,0.37584928,0.31001362,0.32082236,0.277674,0.2873662,0.3096591,0.43615252,0.2976988,0.33631903,0.2925985,0.27786544,0.21075664,0.260333,0.34705234,0.37546587,0.21570931,0.34265125,0.31673872,0.41717976,0.25608695,0.1969094,0.15791714,0.34161,0.49261308,0.3971062,0.23796232,0.4856766,0.43650955,0.37220708,0.2911265,0.23035672,0.35708457,0.243167,0.13460481,0.29709095,0.013584653,0.38135397,0.20296513,0.30963936,0.31808382,0.36692324,0.37302735,0.29239026,0.37675035,0.3608819,0.3985899,0.28322878,0.33878374,0.3115274,0.44260257,0.3334583,0.21552932,0.26455343,0.35485584,0.46726534,0.40253437,0.33105263,0.40581107,0.3659414,0.31024122,0.23503044,0.35766926,0.31200987,0.40000725,0.32752076,0.18866289,0.18156828,0.34876448,0.34089476,0.29957652,0.37739998,0.3447978,0.2393438,0.21671347,0.2773043,0.207757,0.14711484,0.3084004,0.16528502,0.2999228,0.22751465,0.286815,0.20692956,0.28277016,0.23709151,0.036666222,0.16092756,0.036666222,0.16471973,0.32979834,0.28796402,0.3115691,0.26590952,0.2791554,0.43030918,0.27312413,0.2673097,0.28228793,0.30476764,0.30352286,0.34628925,0.101494014,0.329121,0.2177667,0.31360525,0.321643,0.39119118,0.2620151,0.24040744,0.1408293,0.3258691,0.113376275,0.23662539,0.21183892,0.15597513,0.27487153,0.31274167,0.29257426,0.28224602,0.20482278,0.2730049,0.30654427,0.30004776,0.34972146,0.3027731,0.32627663,0.24726868,0.19818164,0.2779363,0.28107423,0.2750313,0.37611064,0.35294658,0.27642873,0.32867676,0.24494675,0.41894943,0.2555009,0.31271377,0.28353435,0.2505206,0.32866898,0.29072052,0.30843788,0.335309,0.3686389,0.37149265,0.28724334,0.20489989,0.34722096,0.41919917,0.3296209,0.12406902
0.46703798,0.64845014,0.37844718,0.45941365,0.39399123,0.44795567,0.24110365,0.47618893,0.26373562,0.41674137,0.31655166,0.6127186,0.3056125,0.4031331,0.47522753,0.38342226,0.31680566,0.2607279,0.5231652,0.43404633,0.35805357,0.49862212,0.36609685,0.46520174,0.27810875,0.23906097,0.23580511,0.40900382,0.58288187,0.46942347,0.26534456,0.5094223,0.4430613,0.29640403,0.42393774,0.4052009,0.4007711,0.32692692,0.203176,0.2744972,0.033268295,0.3522314,0.20549795,0.3082609,0.34881642,0.52684146,0.44667113,0.23548503,0.37021506,0.40437806,0.46174157,0.3112212,0.323767,0.13185216,0.31429827,0.35377494,0.26864904,0.29169184,0.38076335,0.5050809,0.45147282,0.31828064,0.30570048,0.38639086,0.28646606,0.27757108,0.45530415,0.36477312,0.28357643,0.40098056,0.23993483,0.13368112,0.30863,0.32213,0.21432629,0.31687585,0.480668,0.27753657,0.2681676,0.3798995,0.1948531,0.20975801,0.34403968,0.22129028,0.43026632,0.31025207,0.26624465,0.24351521,0.25969452,0.25286034,0.05699646,0.14707817,0.05699646,0.18380594,0.27357516,0.32829195,0.34347802,0.26557773,0.23344254,0.41733253,0.27254575,0.23081672,0.20545745,0.43577817,0.29809386,0.37003648,0.23768345,0.32460192,0.21286914,0.2873875,0.2883543,0.5348762,0.3692764,0.28086597,0.2856063,0.29292908,0.1919808,0.417246,0.2522825,0.28475857,0.39861354,0.2774174,0.38941842,0.35611832,0.24885327,0.31261784,0.2522765,0.34300557,0.24703753,0.32747197,0.39551815,0.30996183,0.19861768,0.32134324,0.32469988,0.29661748,0.44617528,0.36873442,0.33403736,0.40474698,0.28307214,0.26424858,0.40805107,0.41094184,0.36185163,0.34399328,0.25485635,0.30590978,0.23316385,0.29685152,0.36958313,0.39828297,0.30906245,0.17189133,0.24037856,0.31353635,0.30524167,0.12749003
0.38454258,0.3556746,0.8432081,0.33345354,0.35442525,0.23494971,0.38323992,0.34828296,0.17578138,0.3797172,0.25160694,0.4084246,0.42091453,0.4453216,0.295059,0.3767429,0.4077667,0.39243382,0.4142049,0.24316648,0.2963927,0.45006242,0.4035016,0.30365387,0.24589056,0.2496531,0.13431904,0.42432764,0.50018394,0.457694,0.3328526,0.4385543,0.41589525,0.395751,0.30523053,0.34315372,0.29011706,0.3396339,0.2631315,0.39410883,0.202806,0.37709725,0.27992693,0.25321436,0.36081177,0.46165222,0.5567582,0.2830122,0.3920318,0.44323555,0.42808747,0.4536627,0.42415994,0.2575252,0.3455326,0.38352415,0.38170585,0.33121416,0.38452324,0.41098785,0.5299636,0.3520774,0.38562292,0.43420774,0.31743854,0.46102577,0.49308896,0.35648537,0.376068,0.4162071,0.20685065,0.27333036,0.29156706,0.4101599,0.3449359,0.2801966,0.42324382,0.34546325,0.2813558,0.26981658,0.2502117,0.29093236,0.27693927,0.31635568,0.30930924,0.25393474,0.32352588,0.31424862,0.44351172,0.4674647,0.19506627,0.15977727,0.19506627,0.15906017,0.45613688,0.44132298,0.44478086,0.33722502,0.4225871,0.3585736,0.41205302,0.3540978,0.42650855,0.3672607,0.3266584,0.35591823,0.118788,0.33427766,0.44784877,0.36603415,0.25077263,0.3564952,0.19860075,0.23592833,0.19527534,0.282508,0.14685231,0.26948556,0.33567792,0.21500634,0.2165496,0.35604492,0.28595948,0.23986292,0.24072261,0.33338988,0.28695223,0.42977494,0.3046267,0.3068176,0.36005902,0.3330415,0.33111316,0.3618584,0.29388544,0.38183847,0.37261033,0.3745296,0.32713598,0.4954468,0.25844353,0.38318598,0.26522934,0.2872702,0.41884768,0.28690386,0.27962166,0.33906576,0.40845,0.36860222,0.40868264,0.4502679,0.3647331,0.3799529,0.31542104,0.33156517,0.32953706,0.1822859
0.43768013,0.38393995,0.29885048,0.8895146,0.43258786,0.36939076,0.2607533,0.32342842,0.2711051,0.4179445,0.2728532,0.48201972,0.28565437,0.22481713,0.26710913,0.25335604,0.15239686,0.23418066,0.3906112,0.3986423,0.27844605,0.21235925,0.16121365,0.41481462,0.36525854,0.23999119,0.16907977,0.43698633,0.33766955,0.24716638,0.12669647,0.37816703,0.32398957,0.19737409,0.33025843,0.3322903,0.27382478,0.34510562,0.17642193,0.244573,0.10083746,0.2897691,0.09536089,0.3854012,0.3114987,0.43764132,0.36769354,0.24806982,0.4513603,0.2601497,0.3248036,0.20738465,0.25193673,0.16894335,0.22620434,0.36560708,0.21087864,0.26141235,0.42303383,0.3817203,0.23026496,0.23899841,0.29701704,0.20645031,0.23284122,0.3218281,0.43725282,0.42531702,0.35704815,0.36394465,0.310561,0.15892419,0.34186834,0.28728342,0.2410306,0.25435343,0.45354056,0.19528335,0.44179136,0.39906752,0.2691087,0.3108342,0.31694067,0.24825713,0.29499924,0.31843972,0.30740762,0.19240883,0.21969151,0.2038688,0.104893744,0.13119687,0.104893744,0.15197599,0.26501936,0.24819705,0.24183571,0.21807477,0.2474713,0.25161833,0.17565262,0.14225216,0.2698508,0.3205887,0.25428885,0.32582414,0.27737796,0.3098841,0.20182844,0.21113575,0.16535798,0.36376753,0.36230087,0.26528248,0.29215842,0.1999216,0.32910085,0.30087024,0.19525105,0.25442603,0.30681664,0.28704995,0.28957298,0.3980667,0.29845452,0.2776472,0.19645119,0.25921312,0.26330543,0.2480041,0.39459637,0.33411157,0.27764723,0.2448568,0.21895239,0.21752325,0.26681092,0.36424994,0.34131446,0.2912249,0.2131705,0.32397252,0.3313244,0.32018337,0.39283141,0.3648459,0.22153904,0.23218592,0.15920898,0.26070893,0.35719246,0.30151254,0.1764797,0.17213775,0.16073106,0.20864227,0.29741433,0.09527737
0.2782475,0.44793174,0.36486673,0.35784775,0.84376514,0.4065988,0.44925857,0.38491762,0.40193808,0.3230458,0.3596177,0.49447036,0.29268152,0.28504783,0.2531114,0.33051565,0.29459953,0.33234853,0.35220027,0.38706118,0.32075882,0.31873703,0.2895446,0.42350346,0.4314264,0.31126422,0.21077913,0.44246888,0.3422553,0.370883,0.1962797,0.36313805,0.33029687,0.250332,0.30266646,0.3667157,0.34014466,0.26768455,0.18592848,0.30395532,0.23499861,0.35287327,0.12165499,0.2640006,0.33636743,0.42851222,0.34850484,0.22749081,0.24809198,0.24791346,0.50444067,0.33378083,0.4205168,0.19464988,0.3399961,0.41704836,0.36956155,0.33885247,0.23074883,0.34889317,0.30234087,0.34925437,0.41597348,0.31098205,0.43360782,0.361536,0.44394463,0.25776276,0.35147643,0.41841084,0.15725252,0.26736003,0.2862353,0.26891664,0.2184721,0.31618795,0.4545732,0.2919824,0.3559376,0.34434426,0.2872435,0.34158823,0.3681843,0.29999626,0.2845699,0.32737136,0.2974623,0.2782271,0.26607096,0.2603502,0.23728108,0.22446883,0.23728108,0.18488221,0.20404017,0.24387072,0.29177785,0.3892975,0.31634825,0.33704478,0.1552894,0.2559026,0.3776001,0.33368394,0.34163514,0.38756624,0.13733973,0.35184073,0.27900085,0.3203303,0.25516537,0.29648268,0.29870358,0.2705123,0.3479952,0.3023885,0.16536644,0.31454194,0.37005675,0.20898135,0.2879129,0.33660156,0.28341994,0.3780572,0.23538536,0.32935423,0.29589325,0.45508128,0.32141432,0.34784725,0.2668624,0.2828724,0.22687292,0.32183748,0.29538015,0.22801268,0.3131545,0.31221265,0.33105627,0.30292925,0.42413455,0.19408853,0.25668752,0.3274302,0.3314809,0.31623656,0.30116335,0.34233084,0.33306956,0.28255087,0.24675989,0.36158854,0.30179313,0.1994842,0.2742807,0.31169307,0.40926448,0.24355379
0.45935732,0.33391583,0.23033643,0.29571363,0.37339982,0.8806979,0.46568412,0.43713054,0.3885229,0.38715273,0.4127071,0.37277853,0.21281782,0.24970977,0.2740162,0.29942918,0.18125647,0.22446601,0.43609107,0.51610434,0.3557596,0.21131775,0.21995929,0.5239837,0.31431526,0.22208737,0.22467707,0.40564385,0.4274063,0.2930988,0.21814294,0.49385715,0.5987884,0.21123357,0.30847973,0.25404423,0.3410591,0.21737102,0.2206952,0.2525599,0.10578142,0.3224785,0.118838996,0.4365382,0.27850324,0.51471615,0.2946367,0.21501665,0.19929299,0.24042693,0.35097143,0.24809816,0.29924983,0.24740167,0.32023752,0.25910378,0.21408501,0.27117065,0.21872002,0.382995,0.3545858,0.3053983,0.26297012,0.23765144,0.25756595,0.19408342,0.42773062,0.34513244,0.30363527,0.3348043,0.21640089,0.2574757,0.28573757,0.21237953,0.27440986,0.30087537,0.2988924,0.2683376,0.38250902,0.29589817,0.30684257,0.16938594,0.3191503,0.22383788,0.36811483,0.25865856,0.1778706,0.20546086,0.21172403,0.17405565,0.10694446,0.19064434,0.10694446,0.14303997,0.20032296,0.24651062,0.21418561,0.21371627,0.23194829,0.26048604,0.29426152,0.29177278,0.21648437,0.27402815,0.33010942,0.31823558,0.18612255,0.2757829,0.19945699,0.20550503,0.2761834,0.32246524,0.32264364,0.36252606,0.2900855,0.22837836,0.23580708,0.3333835,0.27310973,0.24489802,0.22024128,0.29982036,0.23891765,0.26136753,0.21410224,0.37742594,0.21873362,0.27463824,0.17180516,0.27353787,0.28152892,0.31116712,0.17190358,0.19454208,0.32425684,0.22678743,0.19935085,0.22989178,0.1696622,0.28669494,0.32362562,0.24323878,0.26124066,0.3482246,0.35675693,0.19452631,0.20021932,0.25246903,0.31112856,0.26005653,0.32018006,0.33173233,0.28691003,0.18613808,0.24866238,0.28566155,0.22019236,0.06925023
0.34261343,0.27772677,0.34218737,0.28689322,0.37158656,0.58792025,0.74965453,0.39378095,0.35644728,0.35952917,0.31842518,0.393518,0.31424922,0.31667662,0.22539775,0.25630662,0.26197228,0.25116318,0.35091275,0.35402894,0.26150692,0.26621896,0.32030475,0.45162505,0.459565,0.25796846,0.26664796,0.42477405,0.42646027,0.3263868,0.19173115,0.402799,0.47375202,0.28013906,0.2990076,0.30794153,0.3683112,0.19882375,0.21223545,0.24222913,0.16636175,0.3903051,0.120149046,0.31832916,0.34382802,0.46388245,0.3487064,0.23100182,0.1951474,0.24971345,0.34625423,0.32597557,0.38415053,0.20117757,0.3083016,0.30076402,0.28751823,0.2971197,0.2812045,0.3089869,0.343625,0.39706773,0.40316924,0.296689,0.30376208,0.23737392,0.42350528,0.40971452,0.33741465,0.33835387,0.22070003,0.27270198,0.3100254,0.3242272,0.3476287,0.38344058,0.3126668,0.34101295,0.30220366,0.34346515,0.39108786,0.31703305,0.35883877,0.32593027,0.36888096,0.24254405,0.31028524,0.25442237,0.32106125,0.26862794,0.1637629,0.22934394,0.1637629,0.19335201,0.24674651,0.31378406,0.2997729,0.2198605,0.31085923,0.23119462,0.33044717,0.36004227,0.33108562,0.24790543,0.36259648,0.2623244,0.13893259,0.25967014,0.24770464,0.2538012,0.2636038,0.28500655,0.31036872,0.28467944,0.23478086,0.31084165,0.22070375,0.3501806,0.35714987,0.2846158,0.34962568,0.31940988,0.27912617,0.22364886,0.19362411,0.26193053,0.2496595,0.30995223,0.21389899,0.25758487,0.20110771,0.2815414,0.21709427,0.25612935,0.33000207,0.24054074,0.3031916,0.28693232,0.18034214,0.27982002,0.34156644,0.30454057,0.20325056,0.31952238,0.34018406,0.16802324,0.26442242,0.19162299,0.3285088,0.2513393,0.2816649,0.3343286,0.25005248,0.19742274,0.22376415,0.2836089,0.25012642,0.08971215
0.31006724,0.49261034,0.38956237,0.33861437,0.4871155,0.44287077,0.41492665,0.8249349,0.45298502,0.5402266,0.4328719,0.56020826,0.18998688,0.34547907,0.3213951,0.38333845,0.33788323,0.23659368,0.5828633,0.48891413,0.46016616,0.37590548,0.26815176,0.40619823,0.41089618,0.2650951,0.27408168,0.49059245,0.49840617,0.36540222,0.14269912,0.4228472,0.3840102,0.35200363,0.42393652,0.48308516,0.32909736,0.41376758,0.30722186,0.2227712,0.10963291,0.40830374,0.12877953,0.37330922,0.40760455,0.56067765,0.47655275,0.18472928,0.31543213,0.34118158,0.44139957,0.42297757,0.31062704,0.19243324,0.28154594,0.35985392,0.33758968,0.299228,0.20926028,0.2779647,0.35279584,0.33860025,0.28812087,0.3749968,0.24385834,0.26110172,0.4784577,0.33971214,0.26765335,0.4002601,0.24026854,0.24236597,0.299546,0.20269826,0.20723444,0.27439135,0.36783013,0.37441957,0.27837855,0.35794437,0.25368416,0.28603,0.36222523,0.30291295,0.3494007,0.28690967,0.22864033,0.16379452,0.23356105,0.33144543,0.10714105,0.18924862,0.10714105,0.15589848,0.2040025,0.26109615,0.33063263,0.24108982,0.2625669,0.34152648,0.1637724,0.38144523,0.27701867,0.30925032,0.36207765,0.27125648,0.28254744,0.25105867,0.28539824,0.29266655,0.29695106,0.5088669,0.43859017,0.43805546,0.3992035,0.31991217,0.20595798,0.41174433,0.3417456,0.32160607,0.34818396,0.3137786,0.3227349,0.36589098,0.22510538,0.3410378,0.2128788,0.41589764,0.22356226,0.31579453,0.35025764,0.36140132,0.25335592,0.27848274,0.33754107,0.26611966,0.33190197,0.3275376,0.27084634,0.4151259,0.2929488,0.23598665,0.377281,0.355918,0.33368397,0.3199311,0.2601144,0.20136955,0.3321194,0.34329683,0.37487152,0.382044,0.24709785,0.29377973,0.21063705,0.2559157,0.29543903,0.16295129
