x.story,x.chunk,y.story,y.chunk,dtw,x,y
1,1,1,1,0,1.1,1.1
1,1,1,2,1.6690010006981824,1.1,1.2
1,1,1,3,1.6318510518296612,1.1,1.3
1,1,1,4,2.01654137744286,1.1,1.4
1,1,1,5,1.9968505255928333,1.1,1.5
1,1,2,1,0.2209663164293496,1.1,2.1
1,1,2,2,1.6072854915807937,1.1,2.2
1,1,2,3,1.6111217314099733,1.1,2.3
1,1,2,4,1.9753727380759318,1.1,2.4
1,1,2,5,2.034459166111771,1.1,2.5
1,1,3,1,0.25656407767099276,1.1,3.1
1,1,3,2,1.7912438587720563,1.1,3.2
1,1,3,3,1.6548656466660492,1.1,3.3
1,1,3,4,1.9285198490569602,1.1,3.4
1,1,3,5,2.1331493398993806,1.1,3.5
1,1,4,1,0.14873002656978812,1.1,4.1
1,1,4,2,1.8059345540049725,1.1,4.2
1,1,4,3,1.55083425306215,1.1,4.3
1,1,4,4,1.9118392124768138,1.1,4.4
1,1,4,5,2.057843249724342,1.1,4.5
1,2,1,1,1.6690010006981824,1.2,1.1
1,2,1,2,0,1.2,1.2
1,2,1,3,1.8617281395249132,1.2,1.3
1,2,1,4,2.07583209668658,1.2,1.4
1,2,1,5,1.6568962374029503,1.2,1.5
1,2,2,1,1.7015801134241304,1.2,2.1
1,2,2,2,0.4970569522185178,1.2,2.2
1,2,2,3,1.7867832234613052,1.2,2.3
1,2,2,4,2.148611849287448,1.2,2.4
1,2,2,5,1.7368809846303148,1.2,2.5
1,2,3,1,1.7113423870005333,1.2,3.1
1,2,3,2,0.4051774118477198,1.2,3.2
1,2,3,3,1.814165248998122,1.2,3.3
1,2,3,4,2.1458538341506186,1.2,3.4
1,2,3,5,1.8651328342041997,1.2,3.5
1,2,4,1,1.7110853071674683,1.2,4.1
1,2,4,2,0.36187694191328573,1.2,4.2
1,2,4,3,1.8717305422509936,1.2,4.3
1,2,4,4,2.0988202486344063,1.2,4.4
1,2,4,5,1.83852993652847,1.2,4.5
1,3,1,1,1.6318510518296612,1.3,1.1
1,3,1,2,1.8617281395249132,1.3,1.2
1,3,1,3,0,1.3,1.3
1,3,1,4,1.6620302038414576,1.3,1.4
1,3,1,5,1.2590765004492954,1.3,1.5
1,3,2,1,1.5386276250930235,1.3,2.1
1,3,2,2,1.6930416385262193,1.3,2.2
1,3,2,3,0.406152598109814,1.3,2.3
1,3,2,4,1.6869437154171778,1.3,2.4
1,3,2,5,1.1917227607288767,1.3,2.5
1,3,3,1,1.6601999578444775,1.3,3.1
1,3,3,2,1.7935991149867125,1.3,3.2
1,3,3,3,0.5133505180906827,1.3,3.3
1,3,3,4,1.7086052057385803,1.3,3.4
1,3,3,5,1.483123927897553,1.3,3.5
1,3,4,1,1.630288604950253,1.3,4.1
1,3,4,2,1.889463372984643,1.3,4.2
1,3,4,3,0.5056791316727322,1.3,4.3
1,3,4,4,1.6874949486411916,1.3,4.4
1,3,4,5,1.3946789689011132,1.3,4.5
