similarity,sent_num,story,lang,lag,span
NA,1,1,eng,1,1
NA,2,1,eng,1,1
0.6094299105278017,3,1,eng,1,1
0.3019499188745683,4,1,eng,1,1
0.29339402496917366,5,1,eng,1,1
0.11437790933025639,6,1,eng,1,1
0.15869605577758172,7,1,eng,1,1
0.3022148980107909,8,1,eng,1,1
0.44215948594409205,9,1,eng,1,1
0.31003176362913226,10,1,eng,1,1
0.6136535059577656,11,1,eng,1,1
0.20126714306248564,12,1,eng,1,1
0.15594162294091474,13,1,eng,1,1
0.211331438830159,14,1,eng,1,1
0.4169881327401771,15,1,eng,1,1
0.23777670501141926,16,1,eng,1,1
0.17624738625296,17,1,eng,1,1
0.1796958428656824,18,1,eng,1,1
0.2361722417481603,19,1,eng,1,1
0.21684600824446756,20,1,eng,1,1
0.3275488949158199,21,1,eng,1,1
0.3386720648888842,22,1,eng,1,1
0.3526257495905442,23,1,eng,1,1
0.4034554241160226,24,1,eng,1,1
0.55506737302552,25,1,eng,1,1
0.1372858149455297,26,1,eng,1,1
0.12245430786459661,27,1,eng,1,1
0.2643782877221011,28,1,eng,1,1
0.19852546630291842,29,1,eng,1,1
0.37751288135170985,30,1,eng,1,1
0.26405269092335626,31,1,eng,1,1
0.4466511354442191,32,1,eng,1,1
0.13350198635565996,33,1,eng,1,1
0.25954553936774577,34,1,eng,1,1
0.5082692467291176,35,1,eng,1,1
0.079684736578152,36,1,eng,1,1
0.25023083638918314,37,1,eng,1,1
0.2217511287000944,38,1,eng,1,1
0.3130215810924567,39,1,eng,1,1
0.2410324287200952,40,1,eng,1,1
-0.004582015811507848,41,1,eng,1,1
0.23611153275276914,42,1,eng,1,1
0.2155062860256305,43,1,eng,1,1
0.14192428502960655,44,1,eng,1,1
0.31647958533725934,45,1,eng,1,1
0.28163552385318935,46,1,eng,1,1
0.31319303023122835,47,1,eng,1,1
0.5938466292180185,48,1,eng,1,1
0.1720477376395784,49,1,eng,1,1
0.2027075134809073,50,1,eng,1,1
0.3400437465279982,51,1,eng,1,1
0.21019992302660404,52,1,eng,1,1
0.2764543725551014,53,1,eng,1,1
-0.0154984390846471,54,1,eng,1,1
0.30351237451248353,55,1,eng,1,1
0.17305918763137004,56,1,eng,1,1
0.20664294053494353,57,1,eng,1,1
0.16351256008776024,58,1,eng,1,1
0.37193445349226945,59,1,eng,1,1
0.1914832264048518,60,1,eng,1,1
0.14268761937184193,61,1,eng,1,1
0.26175074557675965,62,1,eng,1,1
0.15457228700942274,63,1,eng,1,1
0.22965218051350364,64,1,eng,1,1
0.22958570330838166,65,1,eng,1,1
0.14613702556091168,66,1,eng,1,1
0.48916404334490904,67,1,eng,1,1
0.3057846010920845,68,1,eng,1,1
0.5163003167150917,69,1,eng,1,1
0.33571270354727406,70,1,eng,1,1
0.3044125285005542,71,1,eng,1,1
0.4019381844791937,72,1,eng,1,1
0.4375723813506537,73,1,eng,1,1
0.3126103726612192,74,1,eng,1,1
0.17071016430573469,75,1,eng,1,1
0.10190025183316748,76,1,eng,1,1
0.19696681090990834,77,1,eng,1,1
0.164048235722443,78,1,eng,1,1
0.18666476540763577,79,1,eng,1,1
0.15446538122648273,80,1,eng,1,1
0.13475807657840835,81,1,eng,1,1
0.10927287378823758,82,1,eng,1,1
0.3641335089322381,83,1,eng,1,1
0.10520607626444281,84,1,eng,1,1
0.7145777344638451,85,1,eng,1,1
0.13353867992663684,86,1,eng,1,1
0.31045856228169133,87,1,eng,1,1
0.11358785638603983,88,1,eng,1,1
0.2842557530834722,89,1,eng,1,1
0.3853333580707868,90,1,eng,1,1
0.43513234103153164,91,1,eng,1,1
0.3328488254454756,92,1,eng,1,1
0.3120442349053783,93,1,eng,1,1
0.29128500129430324,94,1,eng,1,1
0.3422852178960665,95,1,eng,1,1
0.17334530035636722,96,1,eng,1,1
0.3203440477457472,97,1,eng,1,1
0.33403731631282213,98,1,eng,1,1
0.2628829543757963,99,1,eng,1,1
0.28397754155455457,100,1,eng,1,1
0.12940584848493217,101,1,eng,1,1
0.26334064482864616,102,1,eng,1,1
0.2762076165293211,103,1,eng,1,1
0.26453084529510673,104,1,eng,1,1
0.09728419831062284,105,1,eng,1,1
0.21666945941542112,106,1,eng,1,1
0.10279000311517524,107,1,eng,1,1
0.03597899518795749,108,1,eng,1,1
0.3939867215757634,109,1,eng,1,1
0.2604415664717958,110,1,eng,1,1
0.28911562284276027,111,1,eng,1,1
0.3717857816772245,112,1,eng,1,1
0.138303483343056,113,1,eng,1,1
0.2742066583441536,114,1,eng,1,1
0.3191486145779561,115,1,eng,1,1
0.3167453079104832,116,1,eng,1,1
0.1749384402624157,117,1,eng,1,1
0.027183147779744347,118,1,eng,1,1
0.32279259949667694,119,1,eng,1,1
0.22885288317097513,120,1,eng,1,1
0.11292799373661698,121,1,eng,1,1
0.08003471720197473,122,1,eng,1,1
0.24016258820210865,123,1,eng,1,1
0.08841676868532539,124,1,eng,1,1
0.05126571178213759,125,1,eng,1,1
0.23566408690372262,126,1,eng,1,1
0.047638648836238265,127,1,eng,1,1
0.3010768882596839,128,1,eng,1,1
0.13277745863624418,129,1,eng,1,1
0.02644720536584521,130,1,eng,1,1
-0.0012901176025854923,131,1,eng,1,1
0.3479364123887293,132,1,eng,1,1
0.273598668303133,133,1,eng,1,1
0.2719780568751446,134,1,eng,1,1
0.03392895249498988,135,1,eng,1,1
0.22095964719671898,136,1,eng,1,1
0.20672346092373436,137,1,eng,1,1
0.1890387725891372,138,1,eng,1,1
0.18774036071244027,139,1,eng,1,1
