x.num,y.num,value,x.story,x.chunk,y.story,y.chunk,x.id,y.id,x.num.prop,y.num.prop,max.sim,num.prop.diff,num.prop.diff.abs,translation_steps,chunk_steps,different_chunks,rscore.pred.diff,rscore.pred.diff.abs,rscore.avg.cos,rscore.avg.cos.med
1,1,0.76318043,1,1,2,1,eng1.1,rus2.1,0.024390243902439025,0.02702702702702703,0.76318043,0.0026367831245880033,0.0026367831245880033,1,0,TRUE,0.017925054510420372,0.033593631154606764,0.6958321715384616,0.7066614
2,2,0.70385605,1,1,2,1,eng1.1,rus2.1,0.04878048780487805,0.05405405405405406,0.70385605,0.005273566249176007,0.005273566249176007,1,0,TRUE,0.017925054510420372,0.033593631154606764,0.6958321715384616,0.7066614
3,4,0.5687877,1,1,2,1,eng1.1,rus2.1,0.07317073170731707,0.10810810810810811,0.5687877,0.034937376400791045,0.034937376400791045,1,0,TRUE,0.017925054510420372,0.033593631154606764,0.6958321715384616,0.7066614
4,4,0.6248579,1,1,2,1,eng1.1,rus2.1,0.0975609756097561,0.10810810810810811,0.6248579,0.010547132498352013,0.010547132498352013,1,0,TRUE,0.017925054510420372,0.033593631154606764,0.6958321715384616,0.7066614
5,14,0.46053985,1,1,2,1,eng1.1,rus2.1,0.12195121951219512,0.3783783783783784,0.46053985,0.2564271588661833,0.2564271588661833,1,0,TRUE,0.017925054510420372,0.033593631154606764,0.6958321715384616,0.7066614
6,5,0.75419104,1,1,2,1,eng1.1,rus2.1,0.14634146341463414,0.13513513513513514,0.75419104,-0.011206328279498995,0.011206328279498995,1,0,TRUE,0.017925054510420372,0.033593631154606764,0.6958321715384616,0.7066614
7,6,0.8560196,1,1,2,1,eng1.1,rus2.1,0.17073170731707318,0.16216216216216217,0.8560196,-0.008569545154911012,0.008569545154911012,1,0,TRUE,0.017925054510420372,0.033593631154606764,0.6958321715384616,0.7066614
8,7,0.7045558,1,1,2,1,eng1.1,rus2.1,0.1951219512195122,0.1891891891891892,0.7045558,-0.005932762030323002,0.005932762030323002,1,0,TRUE,0.017925054510420372,0.033593631154606764,0.6958321715384616,0.7066614
9,8,0.77597785,1,1,2,1,eng1.1,rus2.1,0.21951219512195122,0.21621621621621623,0.77597785,-0.003295978905734992,0.003295978905734992,1,0,TRUE,0.017925054510420372,0.033593631154606764,0.6958321715384616,0.7066614
10,9,0.71589035,1,1,2,1,eng1.1,rus2.1,0.24390243902439024,0.24324324324324326,0.71589035,-6.591957811469817e-4,6.591957811469817e-4,1,0,TRUE,0.017925054510420372,0.033593631154606764,0.6958321715384616,0.7066614
11,10,0.79896796,1,1,2,1,eng1.1,rus2.1,0.2682926829268293,0.2702702702702703,0.79896796,0.0019775873434410007,0.0019775873434410007,1,0,TRUE,0.017925054510420372,0.033593631154606764,0.6958321715384616,0.7066614
12,11,0.75415254,1,1,2,1,eng1.1,rus2.1,0.2926829268292683,0.2972972972972973,0.75415254,0.004614370468029039,0.004614370468029039,1,0,TRUE,0.017925054510420372,0.033593631154606764,0.6958321715384616,0.7066614
13,12,0.58458424,1,1,2,1,eng1.1,rus2.1,0.3170731707317073,0.32432432432432434,0.58458424,0.007251153592617021,0.007251153592617021,1,0,TRUE,0.017925054510420372,0.033593631154606764,0.6958321715384616,0.7066614
14,13,0.80886275,1,1,2,1,eng1.1,rus2.1,0.34146341463414637,0.35135135135135137,0.80886275,0.009887936717205004,0.009887936717205004,1,0,TRUE,0.017925054510420372,0.033593631154606764,0.6958321715384616,0.7066614
15,14,0.80676574,1,1,2,1,eng1.1,rus2.1,0.36585365853658536,0.3783783783783784,0.80676574,0.012524719841793042,0.012524719841793042,1,0,TRUE,0.017925054510420372,0.033593631154606764,0.6958321715384616,0.7066614
16,16,0.708767,1,1,2,1,eng1.1,rus2.1,0.3902439024390244,0.43243243243243246,0.708767,0.04218852999340805,0.04218852999340805,1,0,TRUE,0.017925054510420372,0.033593631154606764,0.6958321715384616,0.7066614
17,17,0.6580217,1,1,2,1,eng1.1,rus2.1,0.4146341463414634,0.4594594594594595,0.6580217,0.04482531311799609,0.04482531311799609,1,0,TRUE,0.017925054510420372,0.033593631154606764,0.6958321715384616,0.7066614
18,10,0.43354487,1,1,2,1,eng1.1,rus2.1,0.43902439024390244,0.2702702702702703,0.43354487,-0.16875411997363216,0.16875411997363216,1,0,TRUE,0.017925054510420372,0.033593631154606764,0.6958321715384616,0.7066614
19,17,0.63571364,1,1,2,1,eng1.1,rus2.1,0.4634146341463415,0.4594594594594595,0.63571364,-0.0039551746868820015,0.0039551746868820015,1,0,TRUE,0.017925054510420372,0.033593631154606764,0.6958321715384616,0.7066614
20,18,0.81370795,1,1,2,1,eng1.1,rus2.1,0.4878048780487805,0.4864864864864865,0.81370795,-0.0013183915622939635,0.0013183915622939635,1,0,TRUE,0.017925054510420372,0.033593631154606764,0.6958321715384616,0.7066614
21,19,0.8013939,1,1,2,1,eng1.1,rus2.1,0.5121951219512195,0.5135135135135135,0.8013939,0.0013183915622939635,0.0013183915622939635,1,0,TRUE,0.017925054510420372,0.033593631154606764,0.6958321715384616,0.7066614
22,20,0.6615272,1,1,2,1,eng1.1,rus2.1,0.5365853658536586,0.5405405405405406,0.6615272,0.0039551746868820015,0.0039551746868820015,1,0,TRUE,0.017925054510420372,0.033593631154606764,0.6958321715384616,0.7066614
