umap.x,umap.y,story,window
14.958097,9.064781,1,1
14.699276,9.263756,1,1
14.7546625,9.271048,1,1
14.0170965,6.3236337,1,1
14.837683,6.6920505,1,1
14.197423,9.34834,1,1
14.453908,10.481401,1,1
15.644966,9.933651,1,1
15.746098,10.230891,1,1
14.356581,10.000425,1,1
14.469699,9.995104,1,1
14.521711,9.956636,1,1
14.507015,9.150944,1,1
14.009957,6.7233644,1,1
13.757346,6.50358,1,1
14.144259,5.884922,1,1
6.5458136,5.0204005,1,1
14.426741,5.683289,1,1
12.264132,4.2131953,1,1
14.6990795,9.857275,1,1
15.430337,9.897248,1,1
10.726507,7.3332176,1,1
13.515362,5.8640423,1,1
14.128518,5.3014894,1,1
14.081344,5.3799925,1,1
15.306831,10.114418,1,1
6.335828,4.672128,1,1
11.502671,8.161023,1,1
14.911732,10.304933,1,1
15.014003,9.204721,1,1
13.361142,5.064065,1,1
13.055952,3.9576719,1,1
15.290681,5.872832,1,1
15.50547,9.041125,1,1
15.683248,9.30999,1,1
13.961657,8.541245,1,1
13.557676,9.806968,1,1
12.544542,5.6557055,1,1
13.391773,6.056833,1,1
12.875022,4.59846,1,1
13.865594,10.05878,1,1
12.533147,10.419935,1,1
12.603412,10.395878,1,1
15.442723,9.316632,1,1
15.131463,5.3768005,1,1
14.1080885,4.9646344,1,1
15.169076,5.4165583,1,1
15.225632,5.2700753,1,1
15.324411,5.277645,1,1
10.593861,4.5427694,1,1
10.072695,4.711088,1,1
11.77834,4.10582,1,1
10.326669,5.7395043,1,1
12.604814,2.853078,1,1
12.009948,2.8386147,1,1
10.199441,4.271928,1,1
10.933071,4.240704,1,1
9.941036,4.8286247,1,1
9.974402,5.6066957,1,1
15.068252,5.445874,1,1
14.096921,6.962293,1,1
10.766546,5.8036594,1,1
14.390014,7.116482,1,1
15.633968,8.509129,1,1
10.68765,5.7591357,1,1
15.22109,7.234139,1,1
15.25004,7.5611806,1,1
14.95483,8.559834,1,1
14.759989,8.543292,1,1
13.157566,9.824231,1,1
14.013012,8.035156,1,1
12.909405,6.5696807,1,1
12.647181,5.540103,1,1
12.047512,6.897417,1,1
13.11171,10.587653,1,1
12.261482,10.225526,1,1
13.038455,10.075353,1,1
12.329141,9.47548,1,1
13.554282,10.968369,1,1
13.112752,8.237665,1,1
12.5966215,7.722415,1,1
12.573025,7.17669,1,1
12.604849,4.05899,1,1
6.228985,4.736723,1,1
6.285366,4.799827,1,1
12.99402,7.7783766,1,1
12.655155,4.080892,1,1
12.679616,5.8757896,1,1
6.6997185,4.413343,1,1
13.67473,4.286385,1,1
13.892173,4.3814845,1,1
13.033627,5.103173,1,1
12.437733,6.1402864,1,1
12.390742,6.777915,1,1
13.041365,5.843683,1,1
11.778666,5.81094,1,1
12.182261,4.8634043,1,1
13.962625,4.5605617,1,1
11.746733,4.6418095,1,1
11.611785,5.1652083,1,1
10.64275,4.680959,1,1
13.057415,7.2668686,1,1
12.081879,8.577675,1,1
11.81046,8.77491,1,1
12.640071,5.2157106,1,1
11.732494,5.476359,1,1
12.14514,5.9578834,1,1
11.899011,4.5427947,1,1
11.709278,4.4573374,1,1
11.804594,4.522853,1,1
13.436693,4.372362,1,1
13.425862,4.4374666,1,1
12.384657,8.791493,1,1
11.15982,8.906509,1,1
10.231493,8.214142,1,1
10.441267,8.613529,1,1
11.185784,8.34711,1,1
10.203616,8.17266,1,1
10.785418,8.702355,1,1
10.378076,7.5240874,1,1
6.470941,4.9214516,1,1
11.072268,8.924198,1,1
11.125623,7.890537,1,1
10.256304,6.3501773,1,1
9.892791,7.3401,1,1
10.522918,4.78581,1,1
11.2583685,5.4765496,1,1
11.135332,4.0651007,1,1
12.902129,8.246306,1,1
13.495947,8.323721,1,1
14.837713,8.10405,1,1
13.237143,5.553206,1,1
11.571576,6.71963,1,1
10.564405,6.4439754,1,1
14.7031,7.3044496,1,1
14.705958,7.4375243,1,1
12.682952,9.391463,1,1
13.607971,9.084726,1,1
13.046643,8.886106,1,1
13.484191,10.723175,1,1
13.16292,8.834638,1,1
10.95288,3.6567352,1,1
10.884255,3.7517595,1,1
11.811335,3.2761724,1,1
11.620135,3.2683234,1,1
13.735736,5.3145676,1,1
12.460261,4.562277,1,1
12.606775,4.6978617,1,1
12.520538,4.446744,1,1
14.391012,8.245041,1,1
12.239469,3.5695438,1,1
11.690551,3.896588,1,1
12.314463,3.5032473,1,1
12.641771,2.9245644,1,1
11.978975,2.8762372,1,1
10.252521,4.3085628,1,1
10.888136,4.185614,1,1
15.06562,8.930677,2,1
14.643452,9.185727,2,1
14.957378,8.936485,2,1
14.635426,9.247019,2,1
14.701713,6.735257,2,1
14.247155,9.381433,2,1
14.480383,10.436069,2,1
15.629424,9.910136,2,1
15.761666,10.199031,2,1
14.451911,9.912998,2,1
14.544985,10.011589,2,1
14.541101,9.943581,2,1
14.466943,9.200677,2,1
14.0832405,6.7847314,2,1
13.700176,6.660244,2,1
13.729082,6.444117,2,1
14.267401,5.831165,2,1
12.175515,4.2366047,2,1
14.691117,9.805624,2,1
15.400484,9.811798,2,1
10.746332,7.3232293,2,1
13.320339,5.8870955,2,1
14.662189,5.817475,2,1
13.270679,5.9603176,2,1
13.81177,5.163628,2,1
13.880282,5.499156,2,1
14.000594,5.4513707,2,1
15.192044,10.133087,2,1
14.812161,10.221757,2,1
14.976156,8.995082,2,1
13.25028,4.8831916,2,1
12.911695,3.7970715,2,1
15.290718,5.7721567,2,1
15.445363,8.955653,2,1
15.575873,9.243087,2,1
12.126974,5.228218,2,1
14.008681,8.463684,2,1
13.571956,9.785535,2,1
12.266156,5.9723015,2,1
11.78985,5.8654437,2,1
12.575892,5.3480573,2,1
13.303972,6.0859833,2,1
12.779293,4.6383395,2,1
13.747966,9.9771185,2,1
12.583948,10.316468,2,1
15.364701,9.401942,2,1
15.15179,5.316844,2,1
14.090911,5.053329,2,1
13.879694,4.578622,2,1
15.2925415,5.4528284,2,1
15.276583,5.3121877,2,1
10.43416,4.6898484,2,1
10.158114,4.707461,2,1
10.331088,5.767493,2,1
12.529127,2.8283794,2,1
11.959967,2.9221356,2,1
10.737018,4.268471,2,1
9.933433,4.7914248,2,1
14.734196,5.697226,2,1
14.03147,6.9183908,2,1
14.290926,7.0934787,2,1
15.60466,8.403454,2,1
10.621263,5.6534495,2,1
15.250365,7.321638,2,1
15.299627,7.5206265,2,1
14.958258,8.638895,2,1
14.684013,8.487592,2,1
13.224388,9.740453,2,1
11.993635,7.7191563,2,1
13.958646,7.887198,2,1
12.957581,6.5176725,2,1
12.63913,5.5010467,2,1
11.9724865,6.977529,2,1
13.119267,10.556623,2,1
12.286395,10.186672,2,1
13.144134,10.161766,2,1
12.486698,9.826831,2,1
12.345167,9.550753,2,1
13.426734,10.913512,2,1
12.44822,9.244694,2,1
