umap.x,umap.y,story,grain
10.709968,10.739996,1,1
10.538846,10.965672,1,1
10.4557085,10.922079,1,1
11.523965,7.966228,1,1
11.889948,8.651582,1,1
10.407655,10.553669,1,1
10.037734,11.579117,1,1
11.010576,11.811231,1,1
11.035877,12.03836,1,1
9.470913,11.2340555,1,1
9.682592,11.50986,1,1
9.461386,11.449477,1,1
10.179442,10.905165,1,1
11.028315,7.973126,1,1
11.225037,7.8434916,1,1
12.300608,7.3477564,1,1
7.3145127,3.060891,1,1
12.49651,7.4446197,1,1
10.824278,5.5121174,1,1
9.661977,11.416266,1,1
10.632458,11.708108,1,1
8.440508,7.190004,1,1
11.326072,7.2321186,1,1
11.927671,7.5532165,1,1
11.925378,7.720268,1,1
10.772422,11.662876,1,1
7.181317,2.8760521,1,1
7.1548004,8.598726,1,1
9.852309,10.869856,1,1
10.787554,10.81512,1,1
10.621731,7.0793786,1,1
10.882961,5.113081,1,1
12.351858,8.67693,1,1
11.314959,10.802406,1,1
11.292727,11.286487,1,1
10.282991,9.724902,1,1
9.16604,10.2992525,1,1
10.908696,6.316675,1,1
11.086088,7.378271,1,1
12.024433,6.1396446,1,1
9.779553,10.55528,1,1
8.088904,10.093851,1,1
8.182154,9.994257,1,1
11.036824,11.080833,1,1
12.559124,8.525729,1,1
12.052938,7.9616857,1,1
12.537328,8.38961,1,1
12.675827,8.394557,1,1
12.67551,8.576112,1,1
9.78852,4.6100235,1,1
9.148994,4.469273,1,1
11.424822,5.0106506,1,1
8.782245,5.3422937,1,1
12.1336,4.3618836,1,1
11.732341,4.0006,1,1
9.708964,4.22919,1,1
10.294139,4.4236484,1,1
8.974244,4.472525,1,1
8.565387,5.5625887,1,1
12.771625,8.270216,1,1
11.27068,8.39478,1,1
9.101535,5.5630713,1,1
11.282033,8.758923,1,1
11.573522,10.583981,1,1
9.141176,5.589511,1,1
11.82229,9.212628,1,1
11.694185,9.522183,1,1
10.891092,10.15373,1,1
10.649872,10.091929,1,1
8.930546,9.907478,1,1
10.483749,9.481575,1,1
10.559253,7.494667,1,1
10.994154,6.3830132,1,1
9.512688,7.2658887,1,1
8.472265,10.56631,1,1
7.9435735,9.773227,1,1
8.554836,10.117024,1,1
8.463751,9.123904,1,1
8.633601,11.153818,1,1
9.606041,8.852502,1,1
9.209642,8.0494795,1,1
9.618091,7.6296515,1,1
11.0167675,5.620314,1,1
7.132191,2.7078285,1,1
7.2229247,2.730494,1,1
10.041206,8.341824,1,1
11.022223,5.5882974,1,1
10.863507,6.7899327,1,1
7.8376045,2.9022717,1,1
12.395364,6.3389826,1,1
12.600026,6.6027937,1,1
11.616206,6.475654,1,1
10.217478,6.64236,1,1
9.834984,7.293571,1,1
11.362702,6.851484,1,1
10.183662,6.3230486,1,1
11.858178,5.777847,1,1
12.620035,6.5039864,1,1
11.4720745,5.466588,1,1
10.18662,5.6064377,1,1
9.58667,4.7353463,1,1
9.8182535,7.857391,1,1
8.630184,8.330288,1,1
8.132763,8.583838,1,1
11.217873,6.320209,1,1
10.27763,5.8706274,1,1
10.547245,6.3480945,1,1
12.114812,5.522165,1,1
11.782703,5.1250687,1,1
11.970458,5.2354736,1,1
12.437976,5.6974454,1,1
12.362478,5.93267,1,1
8.9716625,8.743613,1,1
7.1568985,7.989093,1,1
7.3701954,7.1195865,1,1
7.446244,7.44304,1,1
7.1824484,8.314491,1,1
7.5263643,7.0808764,1,1
7.491787,7.920577,1,1
8.013337,6.838731,1,1
7.1450334,2.9111342,1,1
7.021512,7.904811,1,1
7.710358,8.1036,1,1
8.472441,6.020887,1,1
7.697694,6.5072403,1,1
9.54614,4.741503,1,1
9.623321,5.8853164,1,1
10.358711,4.4585176,1,1
9.915666,8.535985,1,1
9.838315,9.213846,1,1
10.987507,9.83099,1,1
10.555057,7.219854,1,1
9.276996,6.906686,1,1
8.781933,6.37264,1,1
11.209411,9.104142,1,1
11.094194,9.152731,1,1
8.745411,9.443582,1,1
9.692207,9.71869,1,1
9.227383,9.21437,1,1
8.691867,10.929093,1,1
9.558064,9.32437,1,1
10.393072,3.972875,1,1
10.435508,3.8509467,1,1
11.222576,4.1194725,1,1
11.215822,4.0127983,1,1
12.235708,6.9989824,1,1
12.01609,5.7462373,1,1
11.921624,6.0173264,1,1
11.898249,5.823552,1,1
10.358358,9.186225,1,1
11.06478,4.6717234,1,1
10.627148,4.760416,1,1
11.138698,4.6027884,1,1
12.111654,4.3556848,1,1
11.740428,4.002123,1,1
9.576809,4.2405534,1,1
10.238038,4.4236965,1,1
10.914876,10.491391,2,1
10.241082,10.9885435,2,1
10.721902,10.765816,2,1
10.457988,10.8510065,2,1
11.759381,8.558277,2,1
10.403366,10.54984,2,1
10.112581,11.617077,2,1
10.986936,11.693391,2,1
11.113876,11.931001,2,1
9.575545,11.228677,2,1
9.761608,11.607444,2,1
9.530921,11.3075075,2,1
10.085381,10.9191475,2,1
11.065513,8.045277,2,1
10.922648,7.924414,2,1
11.337139,7.8594966,2,1
12.333886,7.413135,2,1
10.664429,5.406484,2,1
9.6366415,11.378491,2,1
10.776325,11.6302185,2,1
8.443246,7.124209,2,1
11.344576,7.1602917,2,1
8.869491,6.160448,2,1
11.210818,7.2437344,2,1
11.93679,7.1044116,2,1
11.614478,7.6175885,2,1
11.691714,7.5544143,2,1
10.577763,11.649568,2,1
9.806776,10.8485775,2,1
10.724423,10.52225,2,1
10.511203,6.9870005,2,1
11.012429,5.0137734,2,1
12.350564,8.715976,2,1
11.197433,10.7010975,2,1
11.237809,11.197295,2,1
11.912108,6.6778445,2,1
10.256332,9.630542,2,1
9.1745405,10.285652,2,1
10.617115,6.402074,2,1
10.379726,6.0349603,2,1
11.02106,6.288319,2,1
11.0068655,7.3729615,2,1
11.992999,6.090472,2,1
9.694512,10.398734,2,1
8.2183275,9.948466,2,1
10.990545,11.10533,2,1
12.519598,8.467856,2,1
11.879054,7.8709683,2,1
12.737428,6.264007,2,1
12.579575,8.599054,2,1
12.655374,8.532519,2,1
9.7275915,4.6666837,2,1
9.159657,4.559152,2,1
8.766103,5.4166994,2,1
12.080043,4.3219395,2,1
11.671386,4.026172,2,1
9.955603,4.4774017,2,1
8.990018,4.4830976,2,1
8.701844,5.809597,2,1
11.202692,8.292572,2,1
11.190864,8.638249,2,1
11.555094,10.524024,2,1
9.032244,5.491179,2,1
11.753235,9.246368,2,1
11.656705,9.508367,2,1
10.840691,10.268757,2,1
10.672361,10.128663,2,1
9.138829,10.0447035,2,1
9.001604,8.211109,2,1
10.563609,9.275321,2,1
10.507875,7.5611453,2,1
11.096851,6.420673,2,1
9.305241,7.227063,2,1
8.575664,10.61667,2,1
7.935807,9.716447,2,1
8.6004715,10.186957,2,1
8.377832,9.642291,2,1
8.392868,9.224985,2,1
8.583098,10.983263,2,1
8.598751,9.329632,2,1
8.67585,11.175868,2,1
9.654644,8.926325,2,1
9.434387,7.9485345,2,1
10.984938,5.6057916,2,1
9.992529,8.284479,2,1
7.593712,2.8159275,2,1
12.625478,6.5234127,2,1
12.314498,6.456039,2,1
10.327859,6.5027747,2,1
9.749093,7.236622,2,1
11.361152,6.731563,2,1
10.086818,6.239648,2,1
11.774865,5.884099,2,1
12.625533,6.5316744,2,1
11.567415,5.3960342,2,1
9.894918,5.196101,2,1
9.764368,7.9256687,2,1
8.614547,8.277453,2,1
8.191679,8.5334215,2,1
11.240068,6.361157,2,1
10.4373455,6.0017686,2,1
11.944902,5.42846,2,1
8.86508,8.598091,2,1
7.168077,7.955202,2,1
7.463762,7.113435,2,1
7.4262176,7.2534513,2,1
7.4281235,7.347932,2,1
7.6784325,7.640525,2,1
7.559914,7.916386,2,1
7.890843,6.666766,2,1
7.147264,7.894776,2,1
7.7289414,8.104622,2,1
8.557665,5.945308,2,1
7.7573752,6.50204,2,1
9.514916,4.615554,2,1
9.609318,5.8628783,2,1
9.62123,8.319811,2,1
9.91422,9.256947,2,1
11.201881,9.895784,2,1
8.170143,9.807891,2,1
8.285263,10.285726,2,1
10.534432,7.053252,2,1
9.333567,6.851997,2,1
8.838393,6.424216,2,1
11.154953,9.154678,2,1
8.905682,9.440899,2,1
9.228054,9.300031,2,1
8.733544,10.824854,2,1
9.770197,9.797969,2,1
9.260795,8.9533,2,1
10.419577,4.0317845,2,1
