umap.x,umap.y,story,window
15.253258,7.67596,1,1
15.251545,8.009504,1,1
15.20952,7.949784,1,1
13.642045,5.413227,1,1
14.3602495,5.700634,1,1
14.6867,8.01108,1,1
15.636673,9.128029,1,1
16.199703,8.307898,1,1
16.408087,8.445036,1,1
15.019065,8.636561,1,1
15.336565,8.496845,1,1
15.06308,8.631136,1,1
14.960457,7.9478054,1,1
13.595769,5.860646,1,1
13.286156,5.6763835,1,1
13.64495,4.371502,1,1
7.359286,1.7425232,1,1
13.8355055,4.227352,1,1
11.308797,5.527269,1,1
15.451085,8.327383,1,1
16.015535,8.433291,1,1
10.644241,7.9557576,1,1
13.055547,4.948594,1,1
13.564315,4.886927,1,1
13.662585,4.995786,1,1
15.865462,8.634761,1,1
7.443271,1.6419463,1,1
11.926729,8.039948,1,1
15.19446,9.071092,1,1
15.630429,7.7641063,1,1
11.969557,5.7023554,1,1
11.003762,5.2891946,1,1
14.752296,5.503097,1,1
15.798654,7.497189,1,1
16.111034,7.8431044,1,1
14.188746,7.7056055,1,1
14.317025,8.841934,1,1
11.988163,4.6484923,1,1
12.948279,5.253864,1,1
12.151076,3.8275673,1,1
14.612595,8.7084055,1,1
13.538362,9.736805,1,1
13.558197,9.721084,1,1
15.7660675,7.794237,1,1
14.553081,5.148884,1,1
13.850796,5.1418567,1,1
14.72009,5.054559,1,1
14.697655,5.0104456,1,1
14.609019,5.1017694,1,1
9.868802,5.934906,1,1
9.417307,6.3346186,1,1
10.787272,4.4519033,1,1
10.545205,6.48925,1,1
9.65958,3.6750212,1,1
9.704376,4.1729927,1,1
9.392235,5.9031115,1,1
9.963639,5.4156137,1,1
9.304056,6.499775,1,1
9.75778,6.91598,1,1
14.622251,4.857044,1,1
13.759473,5.950668,1,1
10.985852,6.309885,1,1
14.048302,6.2190375,1,1
15.839007,7.037471,1,1
10.877359,6.371446,1,1
14.958745,6.080742,1,1
15.112243,6.2877173,1,1
15.082237,7.182785,1,1
14.766195,7.3684497,1,1
13.899366,9.012931,1,1
14.130379,7.3260555,1,1
12.600919,5.9612703,1,1
12.206857,4.7232156,1,1
11.890258,6.6343074,1,1
14.267154,9.559455,1,1
