umap.x,umap.y,story
8.852968,11.807861,1
9.495852,12.252238,1
9.565604,12.108089,1
9.559079,12.122039,1
7.630386,9.203383,1
7.827346,10.026319,1
9.689203,11.779274,1
10.373885,12.497259,1
8.89533,12.857489,1
8.766503,12.982867,1
10.155958,12.722853,1
10.213088,12.766305,1
10.106574,13.032528,1
9.824935,12.268402,1
8.204088,9.4265995,1
8.236554,9.196896,1
7.08621,8.5008955,1
3.688592,6.222811,1
6.94705,8.766083,1
9.069305,6.764521,1
9.987087,12.879389,1
9.149314,12.799876,1
11.644474,7.7715483,1
7.974581,8.523973,1
7.5020213,8.87434,1
7.6172357,8.984149,1
9.371211,12.625125,1
3.4770963,6.040105,1
11.204781,8.820275,1
10.046339,11.974405,1
9.194015,12.020958,1
8.825823,8.487236,1
8.666333,6.05715,1
7.275612,10.106252,1
8.664793,12.035954,1
8.5331135,12.307209,1
9.434085,10.952746,1
10.589286,11.525546,1
8.346669,7.7620993,1
8.236619,8.637031,1
7.7116766,7.2730546,1
9.887754,11.521362,1
11.756446,10.99963,1
11.642712,10.968293,1
8.908206,12.193565,1
6.904593,9.828515,1
7.596304,9.314452,1
6.7937694,9.769208,1
6.6908793,9.658689,1
6.6821,9.737678,1
10.572841,6.10367,1
11.209949,6.0579123,1
8.355602,6.1414676,1
10.611068,6.9634004,1
8.863093,4.788872,1
9.311484,4.907041,1
10.686051,5.6768866,1
9.999918,6.012303,1
11.259811,6.0406084,1
11.281914,6.7635894,1
6.76603,9.544159,1
8.36113,9.775414,1
10.185965,7.3828874,1
8.414316,9.945245,1
8.298626,11.732834,1
10.326239,7.2420287,1
7.8463793,10.657005,1
8.101685,10.964066,1
8.892379,11.467508,1
9.24598,11.323448,1
10.893116,11.2163315,1
9.275819,10.425913,1
9.109051,8.835445,1
8.147227,7.851496,1
9.800685,8.486851,1
11.631514,11.71647,1
11.685262,10.762062,1
11.188056,11.180676,1
11.160147,10.144844,1
11.391686,12.158587,1
10.48454,10.284382,1
9.867316,9.344275,1
9.472194,8.864467,1
8.8569145,6.8287826,1
3.3117077,5.8859854,1
3.4057305,5.9731755,1
9.606712,9.638822,1
8.747081,6.790017,1
8.565083,7.938365,1
8.122047,7.307996,1
7.2547884,7.4346137,1
6.9437346,7.5480657,1
7.634008,7.777378,1
8.913067,8.062978,1
9.497323,8.525753,1
7.8044696,8.305533,1
9.1291485,7.613321,1
8.028617,6.922098,1
6.9040246,7.139924,1
8.143479,6.4580197,1
9.207233,6.9689193,1
10.803264,6.3796983,1
9.9388485,9.180642,1
10.993079,9.410806,1
11.48757,9.701823,1
7.958049,7.6328316,1
9.122489,7.228215,1
8.695886,7.2963743,1
7.715237,6.439472,1
7.9964576,6.25967,1
7.7088494,6.3761773,1
7.3591204,6.673566,1
7.3491316,6.8513026,1
10.674827,9.715833,1
11.834907,9.249519,1
12.322043,8.260305,1
12.276312,8.599511,1
11.433262,8.882594,1
12.373155,8.213361,1
12.034354,8.884586,1
12.003703,7.675051,1
3.5042486,6.058813,1
11.9424305,9.221626,1
11.3783865,8.4593115,1
11.102586,7.4692435,1
12.110438,7.340583,1
10.728058,6.3027186,1
9.771102,7.4693947,1
10.037664,6.0965624,1
9.686208,9.898712,1
10.375409,10.625074,1
8.591268,11.086377,1
8.651294,8.414749,1
10.031348,8.170131,1
10.760358,7.823755,1
8.422595,10.336395,1
8.506057,10.46111,1
10.936126,10.390211,1
9.920819,10.893293,1
10.225436,10.238507,1
11.335785,11.98253,1
9.871435,10.57216,1
9.954309,5.626026,1
9.976911,5.484673,1
9.148894,5.6018324,1
9.371629,5.5469785,1
7.2441664,8.0909605,1
7.7564025,6.7052317,1
7.8945966,7.039475,1
7.92109,6.8958898,1
8.90672,10.770647,1
8.988989,5.719135,1
9.502895,6.0649924,1
8.926226,5.71618,1
8.804626,4.8477745,1
9.319324,4.9135084,1
10.732944,5.714019,1
10.036041,6.0242295,1
8.833465,11.699788,2
9.795292,12.431574,2
9.208252,11.809605,2
9.62109,12.117625,2
7.817122,9.955653,2
9.742129,11.68355,2
10.442407,12.421873,2
8.872283,12.856357,2
8.755633,12.951333,2
10.12219,12.693265,2
10.133496,12.870359,2
10.078208,12.982179,2
9.864433,12.273053,2
8.186243,9.501779,2
8.503753,9.192907,2
8.269731,9.21862,2
7.014063,8.609739,2
9.203361,6.6829534,2
9.953335,12.871494,2
9.122393,12.597643,2
11.66961,7.7123327,2
8.164333,8.424565,2
7.003523,9.295897,2
8.17594,8.4975605,2
7.4991727,8.395774,2
7.9345345,9.041046,2
7.834399,9.047455,2
9.415358,12.67444,2
10.103654,12.048494,2
9.116824,11.616691,2
9.0822315,8.298787,2
8.746236,6.00726,2
7.07286,10.012859,2
8.63554,11.933311,2
8.644306,12.295128,2
8.735608,9.164988,2
9.478343,10.759159,2
10.576239,11.487936,2
8.612313,7.598555,2
8.806113,7.6038537,2
8.216096,7.6420493,2
8.279036,8.720537,2
7.7423973,7.2474027,2
9.93798,11.426199,2
11.638889,10.946136,2
8.858541,12.192034,2
6.982576,9.808362,2
7.693134,9.311788,2
7.018813,7.069843,2
6.777396,9.897389,2
6.7890143,9.788689,2
10.6144905,6.117104,2
11.071502,6.051604,2
10.568373,7.02829,2
8.887901,4.777964,2
9.244498,5.0507407,2
10.27884,6.046978,2
11.188617,6.0213623,2
6.9304075,9.33921,2
8.396516,9.6581955,2
8.477762,9.911532,2
8.269861,11.732278,2
10.337268,7.2136993,2
7.985429,10.721303,2
8.196712,11.065416,2
8.916842,11.490518,2
9.253122,11.326326,2
10.842862,11.231154,2
10.388082,9.010032,2
9.309311,10.300566,2
9.046874,8.861011,2
8.136167,7.7469406,2
10.001842,8.411689,2
11.488318,11.662266,2
11.599872,10.685283,2
11.217265,11.28035,2
11.321532,10.596351,2
11.208795,10.267886,2
11.345467,12.028199,2
11.034746,10.1991625,2
11.194968,12.179064,2
10.459967,10.403841,2
9.638069,9.2332325,2
8.773217,6.759366,2
9.638443,9.5449705,2
3.39221,5.9234586,2
7.0087276,7.4787602,2
7.193311,7.5829453,2
8.891016,7.9287114,2
9.541025,8.420661,2
7.803077,8.163317,2
9.240399,7.5752873,2
7.9671617,6.9717965,2
6.876592,7.262627,2
8.061947,6.3845387,2
9.978442,6.63321,2
9.957146,9.302241,2
10.926119,9.466896,2
11.483008,9.685068,2
8.080382,7.56845,2
8.979146,7.441734,2
7.784113,6.412721,2
10.710027,9.678061,2
11.883949,9.243136,2
12.271704,8.197945,2
12.275422,8.488451,2
12.338506,8.498374,2
11.71562,8.465718,2
12.089173,8.82768,2
11.950077,7.610362,2
11.957313,9.061564,2
11.409378,8.450598,2
10.962801,7.357647,2
12.0379095,7.3515825,2
10.716375,6.271216,2
9.728589,7.428848,2
10.10379,9.535427,2
10.315635,10.701047,2
8.415659,11.060926,2
11.5033655,10.666041,2
11.515431,11.296814,2
8.645237,8.362595,2
9.955171,8.1292,2
10.631098,7.867517,2
8.436727,10.425228,2
10.648664,10.515355,2
10.149427,10.190029,2
11.138583,11.868373,2
9.935851,10.91232,2
10.0155,10.083001,2
9.931654,5.613308,2
10.055315,5.573682,2
9.303897,5.5885096,2
7.341004,7.9366345,2
7.7726607,7.0878344,2
7.916574,6.8428984,2
9.028169,10.652769,2
8.973611,5.7193875,2
9.511552,6.078856,2
8.922126,5.750631,2
11.077562,5.7754035,2
8.7694645,4.9083457,2
9.241049,4.989622,2
10.139879,5.8952656,2
8.843197,11.839327,3
9.728277,12.464431,3
7.829468,10.062939,3
9.710726,11.72177,3
10.42024,12.399202,3
8.985026,12.828324,3
8.75624,12.991884,3
10.313145,12.673162,3
10.30557,12.772034,3
10.20042,12.248969,3
10.1987295,13.101472,3
9.832495,12.349901,3
8.451501,9.17027,3
8.249266,9.209254,3
7.065425,8.524104,3
6.7907953,8.511585,3
9.298577,6.5526843,3
9.018044,6.84992,3
9.978881,12.8552,3
9.196717,12.758495,3
11.744878,7.735881,3
7.7811165,8.644841,3
7.8808894,9.00943,3
9.241966,12.671206,3
10.630787,12.118477,3
3.3043861,5.873453,3
11.169448,8.888105,3
10.079073,11.982521,3
9.060525,11.878446,3
8.833608,8.461872,3
8.71484,5.9701962,3
8.657036,12.01402,3
8.670439,12.393362,3
8.731666,9.046977,3
9.449429,10.718926,3
10.728516,11.126239,3
10.454058,11.290329,3
10.731459,11.121286,3
8.6593685,7.682211,3
8.255149,7.5255938,3
3.1189084,5.7101855,3
8.33691,8.745819,3
7.6905923,7.19513,3
9.841975,11.324027,3
11.625863,10.955732,3
8.983052,12.374046,3
7.311838,9.598125,3
7.0058236,7.131463,3
6.799113,9.967355,3
6.704842,9.6952915,3
10.656507,6.1360545,3
11.149444,6.031039,3
10.579749,7.036789,3
8.929076,4.7797894,3
9.250229,5.0174584,3
10.317669,6.0146384,3
11.245586,6.080238,3
11.189464,6.933558,3
6.774527,9.719051,3
8.348441,9.679357,3
8.417237,9.901464,3
8.270314,11.759272,3
10.34087,7.2080674,3
7.964391,10.635127,3
11.3050785,11.4086,3
8.146994,10.993716,3
8.926299,11.552777,3
9.2924,11.301409,3
10.117649,11.09251,3
11.050228,11.216912,3
10.386957,8.986312,3
9.246042,10.368126,3
9.097369,9.096696,3
7.6946025,7.509145,3
8.135114,7.8026166,3
9.880899,8.258736,3
11.528657,11.659918,3
11.655852,10.736406,3
11.312195,11.460392,3
11.192726,11.00369,3
11.452466,10.573354,3
10.988074,10.37354,3
11.433825,11.973166,3
10.740659,10.11172,3
11.156826,12.203435,3
10.460735,10.297444,3
9.691798,9.276781,3
9.277555,6.2154226,3
8.729296,6.855238,3
9.716483,9.5560665,3
3.084677,5.6817856,3
3.3606124,5.9243283,3
3.1277142,5.681958,3
3.358659,5.92296,3
6.96312,7.4055386,3
7.1745505,7.5916333,3
9.082147,8.149576,3
7.933218,8.172477,3
9.070095,7.5473657,3
7.875522,6.805327,3
7.0602193,7.0109515,3
8.105159,6.4114356,3
10.006996,6.5897946,3
10.004282,9.212465,3
11.018322,9.378449,3
11.445512,9.677421,3
11.345826,8.853411,3
8.082409,7.6525164,3
9.002066,7.3528852,3
8.693439,7.316793,3
7.7073216,6.3880014,3
10.735439,9.686432,3
11.927448,9.145319,3
12.25316,8.296555,3
12.256212,8.571771,3
12.0740185,8.647428,3
11.393773,8.835189,3
12.331047,8.246912,3
11.729156,8.402274,3
11.661761,8.772635,3
12.120609,8.797487,3
11.89642,7.471662,3
11.831003,7.96105,3
11.908949,9.097651,3
11.334767,8.427287,3
11.0521755,7.4499736,3
12.093097,7.386357,3
10.772683,6.3847995,3
10.008865,5.79367,3
9.755113,7.4639606,3
10.034307,9.692141,3
10.419901,10.636989,3
8.362006,11.048776,3
11.5950575,10.691256,3
11.691198,11.411699,3
9.202792,10.420219,3
8.689311,8.356685,3
10.009142,8.133777,3
10.646222,7.7907906,3
8.437917,10.448719,3
10.911821,10.383247,3
9.957316,10.928144,3
10.229609,10.257867,3
11.2392025,12.02469,3
10.024451,10.944507,3
10.1387005,9.917457,3
9.926091,5.658572,3
10.080745,5.6041584,3
9.721722,5.420857,3
9.384291,5.468644,3
8.937889,10.681566,3
9.2256155,6.0766826,3
8.911794,5.755397,3
11.03727,5.724275,3
8.77973,4.837456,3
9.217693,5.014734,3
10.2000475,5.9376984,3
3.2475588,5.8517222,3
8.949642,11.780902,4
9.64293,12.459248,4
7.619047,9.027065,4
7.8303003,10.031371,4
9.713329,11.737256,4
10.349202,12.482404,4
8.919125,12.826487,4
8.745489,13.004545,4
10.221597,12.668281,4
10.39477,12.8265505,4
10.249871,12.439106,4
9.983202,13.067907,4
9.791112,12.222958,4
8.426242,9.162666,4
8.205351,9.114254,4
7.0368094,8.674308,4
7.045191,8.524341,4
3.6331394,6.168669,4
6.9229913,8.705535,4
9.069851,6.726262,4
9.946049,12.846491,4
9.23117,12.717231,4
11.752595,7.78321,4
7.925912,8.56164,4
7.9069486,8.614196,4
7.4,8.585189,4
7.8986807,9.042331,4
9.22094,12.608452,4
10.566709,12.161134,4
3.4048722,5.9751296,4
3.4506154,6.016909,4
11.190007,8.850144,4
10.113841,12.013544,4
9.126374,12.017333,4
8.764393,8.53878,4
8.747617,5.993825,4
8.666056,11.850691,4
8.569481,12.024449,4
8.665169,12.367529,4
8.858602,9.084799,4
9.497605,10.781572,4
10.636423,11.291595,4
10.265414,11.457682,4
10.70322,11.097009,4
8.545529,7.867695,4
8.6381445,7.4841323,4
8.219974,7.633832,4
3.11425,5.7074513,4
8.262545,8.770271,4
7.7041574,7.2803793,4
9.708207,11.346767,4
11.624945,11.036015,4
8.886305,12.247601,4
7.3960953,9.479882,4
6.820705,9.943169,4
7.042842,9.256209,4
6.7570157,9.712805,4
10.698161,6.110364,4
11.161109,6.0417523,4
10.607886,7.013332,4
8.868798,4.738629,4
9.273241,4.980939,4
10.150344,6.006559,4
11.24843,6.158609,4
6.748776,9.68647,4
8.375635,9.718256,4
8.415907,9.856388,4
8.292901,11.742314,4
10.29114,7.2577777,4
10.247845,7.283784,4
7.96354,10.713599,4
11.395651,11.488489,4
8.225721,11.079177,4
8.954311,11.491894,4
9.256555,11.267839,4
10.126841,11.120891,4
11.118832,11.095054,4
10.294225,9.125052,4
9.233183,10.338153,4
9.140393,9.244887,4
7.6793194,7.6038594,4
8.232605,7.7782955,4
9.917471,8.582445,4
11.564528,11.682332,4
11.650087,10.804974,4
11.329581,11.547733,4
11.193559,11.010097,4
11.411639,10.510319,4
10.895932,10.5406475,4
11.353544,12.085075,4
10.483123,9.355282,4
11.169701,12.232707,4
10.4254265,10.424467,4
9.780946,9.353529,4
9.520746,8.926609,4
9.270786,6.26521,4
8.801607,6.7143335,4
9.755507,9.736074,4
3.163767,5.7533345,4
3.3311753,5.861894,4
3.1464193,5.7361627,4
3.4501505,5.982097,4
7.295275,7.419379,4
6.9440446,7.381065,4
7.014584,7.3742824,4
7.1204023,7.5257564,4
7.1603055,9.051054,4
7.7706213,7.6510825,4
8.751688,8.107505,4
9.473239,8.370359,4
7.8827653,8.097197,4
9.124633,7.6218686,4
7.966048,6.902866,4
7.1119056,8.998107,4
6.9806666,7.125767,4
8.166389,6.4402847,4
9.994289,6.5729313,4
9.94404,9.256574,4
10.994542,9.403346,4
11.510817,9.739744,4
8.775145,7.310498,4
11.300492,8.852312,4
8.041473,7.611487,4
9.003924,7.422725,4
8.703164,7.4298177,4
7.716445,6.428015,4
10.7310505,9.653326,4
11.948368,9.178472,4
12.358118,8.277574,4
12.310016,8.658237,4
12.107626,8.6495,4
11.398733,8.862799,4
12.37372,8.33448,4
11.520327,8.691826,4
12.066998,8.830059,4
11.979356,7.4052896,4
11.923084,7.9540086,4
11.99759,9.100937,4
11.3029375,8.202792,4
11.049489,7.4816895,4
12.114448,7.4222994,4
10.759446,6.254922,4
10.119519,5.730515,4
9.740291,7.461368,4
10.101035,6.0644107,4
9.923034,9.966951,4
10.35588,10.600096,4
8.306488,10.502394,4
8.418956,11.088992,4
11.58871,10.749919,4
11.730112,11.322178,4
9.210172,10.371018,4
8.675403,8.483046,4
10.01662,8.136501,4
10.669141,7.7885227,4
8.383129,10.416574,4
10.908718,10.404704,4
9.960097,10.999887,4
10.188525,10.351953,4
11.228207,12.041653,4
9.9196205,10.794989,4
10.116671,9.958445,4
10.035979,5.708368,4
10.072962,5.671509,4
9.383549,5.5372515,4
9.088082,10.738554,4
8.910653,10.655122,4
8.847994,5.776804,4
10.985963,5.717654,4
8.787012,4.827022,4
9.181858,5.0002203,4
10.14032,5.900009,4
