umap.x,umap.y,story
13.110275,-2.8057892,1
14.750904,-2.0659542,1
14.980622,-2.4090521,1
14.813018,-2.1455257,1
14.517647,-2.2834058,1
12.654417,-0.9216278,1
14.939266,-0.3401492,1
13.198846,-2.9045548,1
13.552235,0.41956544,1
10.662066,-0.40628275,1
12.233189,-0.35722402,1
14.020198,0.26339808,1
12.979009,-2.7896638,1
13.166343,-0.966973,1
14.253091,-1.2614641,1
16.569197,-1.962895,1
13.780247,0.42953956,1
9.949334,-2.205657,1
13.848703,-2.6451416,1
14.574009,-2.749269,1
16.230883,-1.3750615,1
11.797453,-1.3782526,1
16.090391,-0.956881,1
14.809464,-1.5561771,1
10.133087,-0.04545368,1
10.795556,0.38558975,1
11.5555525,-1.3023611,1
9.561267,-2.0066066,1
10.729415,-0.086114846,1
11.409704,0.5987346,1
11.707908,0.88483995,1
10.719324,0.3796443,1
11.317284,-1.1396885,1
11.205598,-1.1659956,1
11.188044,0.22566624,1
10.374089,0.23779485,1
11.880105,-0.4372778,1
10.51809,-0.13019145,1
12.433442,-0.6964125,1
12.317944,-1.256438,1
11.118694,-0.63105625,1
11.16559,-1.5813944,1
12.039489,-1.203352,1
9.558662,-2.0138395,1
10.445935,0.23159963,1
14.860213,-0.44916058,1
10.113326,-0.041201647,1
10.911407,-0.19487463,1
11.672801,-2.2700174,1
12.286634,0.89810544,1
11.222723,-0.21449399,1
11.464582,0.13309059,1
16.09199,-1.1042215,1
14.499276,-2.6473644,1
12.633836,-2.5190723,1
11.670692,-0.9332864,1
12.174118,-2.8239164,1
10.703843,-0.83104587,1
15.333709,-1.8771728,1
15.089876,-3.0138724,1
11.043323,-0.056626596,1
13.321664,-3.2443748,1
15.888601,-1.7686542,1
13.81807,-2.7666142,1
11.410981,0.21837951,1
11.450987,-0.73267156,1
9.81676,-1.7642468,1
10.372028,0.15926176,1
11.856286,-0.33218157,1
10.391377,0.15155005,1
13.316505,-3.3043227,1
9.976827,-2.2240322,1
15.633994,-1.9654129,1
16.094847,-1.5070914,1
15.977905,-2.0542698,1
14.636026,-2.8386934,1
14.420306,-1.6118689,1
14.775177,-2.8591008,1
11.827043,-0.41704026,1
10.883853,-0.23882839,1
16.025253,-2.5336306,1
15.227141,-2.7278643,1
15.660994,-1.2715089,1
15.552518,-0.64788115,1
9.751772,-1.3628131,1
11.103747,-1.2521219,1
10.969639,-0.5029299,1
12.950669,-2.658454,1
10.061374,-0.08387583,1
14.205241,0.10777658,1
15.334433,-2.6007142,1
12.967863,-2.3554208,1
10.897459,-0.51186717,1
14.228233,-2.592246,1
13.387785,-2.234612,1
11.650014,-0.53150785,1
11.579586,-1.1009153,1
13.37213,-3.1633892,1
15.976368,-2.579515,1
13.05984,-2.0642393,1
11.143873,-0.06794602,1
12.515574,1.1486951,1
13.2941675,-2.394769,1
10.020525,-0.23862284,1
15.239233,-2.903924,1
9.868655,-2.2066815,1
13.116221,-1.7441324,1
14.457703,-2.0701373,1
12.520422,-1.0124263,1
14.515661,-1.2631966,1
13.795506,-1.8153722,1
11.798921,-0.92206,1
15.858428,-0.9575178,1
9.876412,-1.7305439,1
14.276019,-1.2658678,1
12.952226,-2.7537386,1
14.622103,-2.1623168,1
13.438757,-0.97316635,1
10.708343,0.40962285,1
13.018165,-0.7978846,1
10.786909,0.84303546,1
12.70183,-1.940565,1
15.544974,-1.1871544,1
9.757314,-2.0732505,1
11.068861,-0.1749709,1
11.447503,0.5652287,1
15.349973,-0.9321312,1
11.320036,0.8173171,1
12.577362,0.9257874,1
9.607466,-2.0005634,1
13.41476,1.7628788,1
11.268654,0.77522594,1
14.988396,-0.6358808,1
12.384402,-1.138732,1
13.64831,-3.2954967,1
11.252643,-2.0524886,1
11.231348,0.49493805,1
15.916192,-2.6292188,1
14.358016,-1.5392373,1
12.622129,-2.347115,1
11.7727165,-0.5719231,1
11.392152,-2.0792582,1
13.1775875,-1.8032988,1
9.516474,-2.0076947,1
10.759262,0.62111974,1
10.752851,0.83907866,1
14.113766,-0.028392147,1
12.636591,0.24024175,1
15.2381315,-1.222261,1
9.944915,-2.241605,1
14.073732,-2.6238687,1
15.038781,-2.9140549,1
11.746162,-1.8159106,1
14.813327,0.03218572,1
11.232845,-1.3614854,1
14.528621,-2.042955,1
13.946241,-1.5466462,1
12.071132,-1.2916243,1
11.779832,-1.8988853,1
13.926411,-1.9279935,1
14.096721,-2.4833698,1
14.764259,-2.7208986,1
11.74035,-1.8106966,1
14.203941,-2.1965861,1
15.243798,-2.7906578,1
16.119654,-1.3526574,1
11.89595,-0.66199005,1
10.888911,-0.10689416,1
16.030788,-1.2043749,1
12.556537,-1.7959436,1
11.689984,-2.2357883,1
14.513133,-2.0862832,1
14.093872,-0.9648672,1
13.758534,-0.5893235,1
15.336144,-1.9957913,1
14.595718,-0.34236038,1
13.689364,0.22452292,1
12.656964,1.0863818,1
13.314077,-2.7171721,2
15.026209,-2.1999414,2
14.904944,-2.3442597,2
13.139725,-2.7994165,2
15.462174,-0.08375127,2
15.436161,-0.060038254,2
14.671443,1.1386446,2
14.674482,-2.2250476,2
13.577586,1.3135364,2
15.361244,0.7924562,2
14.125572,-2.2076652,2
14.139959,0.79828197,2
13.242585,-1.0462489,2
13.728714,0.7649103,2
12.545895,-2.4131393,2
13.368177,-1.1140547,2
14.789079,-0.642638,2
15.513386,0.715435,2
12.726417,0.7713705,2
16.367538,0.8723911,2
12.998417,-0.24382159,2
13.290125,-0.11745048,2
14.168522,0.005606187,2
13.38382,-2.1753292,2
12.627536,-1.5583425,2
16.624851,-1.8960379,2
16.625092,-1.8431747,2
16.219254,-1.2647977,2
14.454237,-2.7854586,2
